timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
1000,0,-46.05,1000,2.46,,,,
2000,1,-14.191,1000,4.62,,,,
3000,2,-21.35,1000,9.27,,,,
4000,3,-20.616,1000,11.55,,,,
5000,4,-17.244,1000,16.06,,,,
6000,5,-22.455,1000,18.3,,,,
7000,6,-22.52,1000,22.88,,,,
8000,7,-21.09,1000,24.97,,,,
9000,8,-22.503,1000,29.11,,,,
10000,9,-21.4,1000,31.21,,,,
11000,10,-19.1,1000,46.0,,,,
12000,11,-15.317,1000,48.35,,,,
13000,12,-24.194,1000,52.44,,,,
14000,13,-18.747,1000,54.49,,,,
15000,14,-21.924,1000,58.64,,,,
16000,15,-16.879,1000,60.74,,,,
17000,16,-26.305,1000,64.8,,,,
18000,17,-17.87,1000,66.84,,,,
19000,18,-21.18,1000,71.23,,,,
20000,19,-17.492,1000,73.33,,,,
21000,20,-14.213,1000,86.79,,,,
22000,21,-15.189,1000,88.82,,,,
23000,22,-18.286,1000,93.31,,,,
24000,23,-13.451,1000,95.44,,,,
25000,24,-19.173,1000,99.72,,,,
26000,25,-21.943,1000,101.81,,,,
27000,26,-21.124,1000,106.24,,,,
28000,27,-24.287,1000,108.23,,,,
29000,28,-16.456,1000,112.49,,,,
30000,29,-22.167,1000,114.55,,,,
31000,30,-10.767,1000,127.33,,,,
32000,31,-21.473,1000,129.26,,,,
33000,32,-20.433,1000,133.41,,,,
34000,33,-12.656,1000,135.39,,,,
35000,34,-18.9,1000,139.58,,,,
36000,35,-20.528,1000,141.69,,,,
37000,36,-18.964,1000,145.83,,,,
38000,37,-21.72,1000,147.8,,,,
39000,38,-19.611,1000,151.94,,,,
40000,39,-22.648,1000,153.86,,,,
41000,40,-17.317,1000,165.37,,,,
42000,41,-12.587,1000,166.97,,,,
43000,42,-18.259,1000,168.51,,,,
44000,43,-16.648,1000,172.77,,,,
45000,44,-20.759,1000,174.71,,,,
46000,45,-21.75,1000,178.83,,,,
47000,46,-8.896,1000,180.84,,,,
48000,47,-11.527,1000,184.96,,,,
49000,48,-19.034,1000,186.92,,,,
50000,49,-17.809,1000,190.95,,,,
51000,50,-13.446,1000,200.95,,,,
52000,51,-18.638,1000,204.98,,,,
53000,52,-14.125,1000,206.92,,,,
54000,53,-23.678,1000,211.01,,,,
55000,54,-20.901,1000,212.94,,,,
56000,55,-22.641,1000,217.17,,,,
57000,56,-18.266,1000,219.12,,,,
58000,57,-6.505,1000,223.21,,,,
59000,58,-19.199,1000,225.29,,,,
60000,59,-19.363,1000,229.7,,,,
61000,60,-17.458,1000,241.22,,,,
62000,61,-24.617,1000,246.13,,,,
63000,62,-15.795,1000,248.47,,,,
64000,63,-15.639,1000,253.25,,,,
65000,64,-18.506,1000,255.64,,,,
66000,65,-20.646,1000,260.28,,,,
67000,66,-9.444,1000,262.75,,,,
68000,67,-13.646,1000,267.31,,,,
69000,68,-20.875,1000,269.41,,,,
70000,69,-23.076,1000,274.01,,,,
71000,70,-18.315,1000,287.64,,,,
72000,71,-18.635,1000,292.71,,,,
73000,72,-20.253,1000,295.25,,,,
74000,73,-16.91,1000,299.81,,,,
75000,74,-17.106,1000,302.24,,,,
76000,75,-16.953,1000,306.49,,,,
77000,76,-12.703,1000,308.45,,,,
78000,77,-17.184,1000,312.52,,,,
79000,78,-6.915,1000,314.6,,,,
80000,79,-18.292,1000,318.76,,,,
81000,80,-18.273,1000,328.97,,,,
82000,81,-13.845,1000,333.26,,,,
83000,82,-13.513,1000,335.65,,,,
84000,83,-20.318,1000,340.41,,,,
85000,84,-23.376,1000,342.54,,,,
86000,85,-14.832,1000,344.87,,,,
87000,86,-18.583,1000,349.56,,,,
88000,87,-19.3,1000,352.01,,,,
89000,88,-13.829,1000,356.64,,,,
90000,89,-19.922,1000,359.15,,,,
91000,90,-20.105,1000,373.7,,,,
92000,91,-8.351,1000,376.4,,,,
93000,92,-13.856,1000,380.98,,,,
94000,93,-15.809,1000,383.5,,,,
95000,94,-14.431,1000,388.15,,,,
96000,95,-18.407,1000,390.63,,,,
97000,96,-9.465,1000,394.87,,,,
98000,97,-9.426,1000,396.94,,,,
99000,98,-12.983,1000,401.09,,,,
100000,99,-15.299,1000,403.36,,,,
101000,100,-12.949,1000,417.31,,,,
102000,101,-13.3,1000,419.41,,,,
103000,102,-18.814,1000,423.74,,,,
104000,103,-14.199,1000,425.87,,,,
105000,104,-17.564,1000,430.34,,,,
106000,105,-18.801,1000,432.57,,,,
107000,106,-8.39,1000,437.01,,,,
108000,107,-15.985,1000,439.38,,,,
109000,108,-10.253,1000,443.75,,,,
110000,109,-14.016,1000,445.95,,,,
111000,110,-8.692,1000,459.2,,,,
112000,111,-8.009,1000,461.16,,,,
113000,112,-17.622,1000,465.35,,,,
114000,113,-4.489,1000,467.37,,,,
115000,114,-13.897,1000,471.62,,,,
116000,115,-6.673,1000,473.57,,,,
117000,116,-4.412,1000,477.76,,,,
118000,117,-15.087,1000,479.74,,,,
119000,118,-14.651,1000,483.92,,,,
120000,119,-15.539,1000,485.84,,,,
121000,120,-13.223,1000,498.56,,,,
122000,121,-9.896,1000,500.65,,,,
