timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss,alpha_loss,alpha
1000,0,-130.399,1000,0.09,,,,
2000,1,-243.005,1000,0.19,,,,
3000,2,-262.483,1000,0.27,,,,
4000,3,-180.782,1000,0.36,,,,
5000,4,-179.093,1000,1.34,19.199177,-3.22565,9.014061,0.9997
6000,5,-185.708,1000,15.78,3.259778,-13.000336,8.708203,0.753906
7000,6,-244.87,1000,30.38,2.109313,-23.050446,6.624857,0.584339
8000,7,-140.48,1000,44.77,2.348744,-30.210768,5.163832,0.459514
9000,8,-270.596,1000,59.03,2.574123,-34.78617,4.047873,0.364702
10000,9,-197.396,1000,75.8,2.685869,-37.461931,3.165677,0.291313
11000,10,-341.338,1000,95.82,2.806248,-38.766256,2.469715,0.233727
12000,11,-241.365,1000,109.59,2.927927,-39.017416,1.92832,0.188004
13000,12,-258.777,1000,122.66,2.944365,-38.475146,1.500377,0.151555
14000,13,-187.297,1000,136.68,2.890584,-37.414348,1.158447,0.122494
15000,14,-205.528,1000,150.64,2.866013,-36.016415,0.892447,0.099196
16000,15,-214.784,1000,165.31,2.795317,-34.343672,0.685636,0.080458
17000,16,-157.951,1000,179.26,2.704352,-32.522669,0.528556,0.065282
18000,17,-176.866,1000,192.33,2.768505,-30.677582,0.405217,0.053036
19000,18,-91.527,1000,206.78,2.685941,-28.86916,0.308775,0.043166
20000,19,82.907,1000,220.09,2.539408,-27.152671,0.233419,0.035212
21000,20,84.592,1000,238.57,2.435941,-25.595031,0.171745,0.028906
22000,21,-128.037,1000,252.16,2.2997,-24.008537,0.127518,0.023775
23000,22,-4.94,1000,265.48,2.172704,-22.442852,0.094105,0.019604
24000,23,172.512,1000,279.13,2.079687,-21.081913,0.068548,0.016227
25000,24,201.109,1000,292.75,2.026414,-19.918096,0.048137,0.013544
26000,25,-70.594,1000,306.04,1.96232,-18.758192,0.032777,0.011414
27000,26,5.064,1000,319.13,1.910204,-17.645312,0.021374,0.009748
28000,27,146.68,1000,331.92,1.934774,-16.834319,0.013315,0.008449
29000,28,468.164,1000,344.68,1.984155,-16.325204,0.007525,0.007502
30000,29,627.606,1000,357.6,2.079608,-16.247292,0.00348,0.006902
31000,30,10.01,1000,375.14,2.125257,-16.165759,0.000611,0.00676
32000,31,866.795,1000,389.56,2.17012,-15.954014,-0.001141,0.007246
33000,32,1079.739,1000,404.58,2.301904,-16.49606,-0.001842,0.008359
34000,33,1021.26,1000,419.83,2.515541,-17.338084,-0.002045,0.009895
35000,34,1377.777,1000,434.12,2.777219,-18.403034,-0.002031,0.011565
