timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
16,0,17.044,16,0.23,,,,
30,1,2.212,14,0.25,,,,
49,2,6.123,19,0.29,,,,
75,3,5.314,26,0.33,,,,
85,4,1.213,10,0.35,,,,
109,5,1.372,24,0.39,,,,
120,6,1.465,11,0.4,,,,
132,7,1.586,12,0.42,,,,
146,8,2.398,14,0.45,,,,
160,9,1.649,14,0.47,,,,
183,10,2.661,23,0.51,,,,
196,11,1.877,13,0.54,,,,
212,12,1.533,16,0.56,,,,
251,13,9.219,39,0.63,,,,
290,14,6.117,39,0.7,,,,
299,15,0.549,9,0.71,,,,
335,16,1.617,36,0.77,,,,
348,17,0.524,13,0.8,,,,
368,18,1.989,20,0.83,,,,
377,19,0.66,9,0.85,,,,
390,20,0.93,13,0.88,,,,
427,21,5.894,37,0.94,,,,
444,22,1.269,17,0.96,,,,
463,23,2.069,19,1.0,,,,
485,24,2.0,22,1.04,,,,
518,25,3.706,33,1.09,,,,
526,26,0.601,8,1.1,,,,
551,27,0.984,25,1.14,,,,
568,28,1.958,17,1.17,,,,
595,29,0.459,27,1.22,,,,
610,30,1.499,15,1.24,,,,
626,31,1.587,16,1.26,,,,
637,32,0.918,11,1.28,,,,
654,33,1.708,17,1.31,,,,
665,34,0.689,11,1.33,,,,
678,35,0.847,13,1.35,,,,
698,36,1.79,20,1.38,,,,
729,37,4.842,31,1.43,,,,
750,38,2.203,21,1.48,,,,
765,39,1.533,15,1.5,,,,
811,40,8.983,46,1.58,,,,
820,41,0.541,9,1.59,,,,
830,42,0.679,10,1.61,,,,
843,43,0.645,13,1.63,,,,
851,44,0.524,8,1.64,,,,
859,45,0.469,8,1.65,,,,
872,46,1.078,13,1.67,,,,
889,47,1.23,17,1.7,,,,
912,48,2.589,23,1.75,,,,
986,49,10.671,74,1.89,,,,
1025,50,3.334,39,1.96,,,,
1036,51,0.555,11,1.98,,,,
1069,52,1.713,33,2.04,,,,
1099,53,0.459,30,2.09,,,,
1112,54,0.394,13,2.11,,,,
1125,55,0.721,13,2.13,,,,
1137,56,0.705,12,2.15,,,,
1151,57,0.481,14,2.17,,,,
1169,58,0.631,18,2.2,,,,
1186,59,0.507,17,2.23,,,,
1210,60,0.732,24,2.27,,,,
1222,61,0.686,12,2.29,,,,
