timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss,alpha_loss,alpha
17,0,-6.161,17,0.01,,,,
32,1,1.776,15,0.01,,,,
58,2,5.852,26,0.01,,,,
68,3,-1.953,10,0.02,,,,
88,4,4.312,20,0.02,,,,
108,5,2.457,20,0.02,,,,
123,6,-2.279,15,0.02,,,,
145,7,1.817,22,0.03,,,,
168,8,-7.921,23,0.03,,,,
188,9,2.574,20,0.03,,,,
201,10,1.601,13,0.04,,,,
226,11,8.513,25,0.04,,,,
238,12,-0.496,12,0.04,,,,
279,13,18.701,41,0.05,,,,
302,14,-0.922,23,0.05,,,,
319,15,1.838,17,0.05,,,,
334,16,1.132,15,0.06,,,,
348,17,-5.227,14,0.06,,,,
377,18,7.094,29,0.06,,,,
398,19,-1.553,21,0.07,,,,
429,20,4.553,31,0.07,,,,
457,21,-0.476,28,0.08,,,,
479,22,7.029,22,0.08,,,,
506,23,-2.401,27,0.08,,,,
531,24,1.982,25,0.09,,,,
544,25,-0.039,13,0.09,,,,
560,26,0.701,16,0.09,,,,
590,27,12.605,30,0.1,,,,
623,28,6.598,33,0.11,,,,
654,29,1.722,31,0.11,,,,
687,30,3.879,33,0.12,,,,
715,31,6.716,28,0.12,,,,
735,32,-9.606,20,0.12,,,,
752,33,2.577,17,0.13,,,,
771,34,-8.078,19,0.13,,,,
787,35,0.959,16,0.13,,,,
803,36,2.971,16,0.13,,,,
815,37,2.289,12,0.14,,,,
847,38,7.232,32,0.14,,,,
872,39,5.392,25,0.15,,,,
890,40,0.387,18,0.15,,,,
919,41,16.014,29,0.15,,,,
935,42,2.085,16,0.16,,,,
952,43,0.654,17,0.16,,,,
966,44,-2.009,14,0.16,,,,
989,45,1.263,23,0.16,,,,
1013,46,-3.139,24,0.17,,,,
1025,47,-1.631,12,0.17,,,,
1046,48,2.596,21,0.17,,,,
1068,49,-6.567,22,0.18,,,,
1091,50,0.02,23,0.18,,,,
1115,51,4.091,24,0.18,,,,
1139,52,-12.184,24,0.19,,,,
1161,53,-1.242,22,0.19,,,,
1182,54,-1.382,21,0.2,,,,
1204,55,-0.846,22,0.2,,,,
1225,56,8.032,21,0.2,,,,
1236,57,-3.876,11,0.2,,,,
1246,58,-6.369,10,0.21,,,,
1276,59,11.497,30,0.21,,,,
1295,60,2.803,19,0.21,,,,
1312,61,1.314,17,0.22,,,,
1344,62,5.324,32,0.22,,,,
1361,63,-12.197,17,0.22,,,,
1383,64,-1.069,22,0.23,,,,
1398,65,-4.066,15,0.23,,,,
1413,66,2.338,15,0.23,,,,
1429,67,-4.536,16,0.23,,,,
1444,68,2.48,15,0.24,,,,
1467,69,-3.802,23,0.24,,,,
1484,70,-9.382,17,0.25,,,,
1496,71,0.577,12,0.25,,,,
1524,72,4.081,28,0.25,,,,
1554,73,3.214,30,0.26,,,,
1587,74,11.973,33,0.26,,,,
1611,75,2.953,24,0.27,,,,
1637,76,-5.706,26,0.27,,,,
1654,77,2.335,17,0.28,,,,
1673,78,-1.474,19,0.28,,,,
1697,79,4.156,24,0.28,,,,
1713,80,1.283,16,0.29,,,,
1731,81,-3.978,18,0.29,,,,
1750,82,-1.864,19,0.29,,,,
1761,83,0.612,11,0.29,,,,
1797,84,15.275,36,0.3,,,,
1826,85,4.336,29,0.3,,,,
1837,86,-3.128,11,0.3,,,,
1851,87,2.328,14,0.31,,,,
1868,88,1.796,17,0.31,,,,
1886,89,2.158,18,0.31,,,,
1928,90,18.759,42,0.32,,,,
1937,91,-1.431,9,0.32,,,,
1970,92,4.185,33,0.33,,,,
1990,93,-6.126,20,0.33,,,,
2009,94,-3.079,19,0.33,,,,
2031,95,-5.528,22,0.34,,,,
2051,96,4.838,20,0.34,,,,
