timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
1000,0,-34.391,1000,2.23,,,,
2000,1,-19.025,1000,4.29,,,,
3000,2,-16.548,1000,9.21,,,,
4000,3,-21.173,1000,11.62,,,,
5000,4,-21.457,1000,15.77,,,,
6000,5,-21.986,1000,17.89,,,,
7000,6,-16.535,1000,22.25,,,,
8000,7,-19.365,1000,24.21,,,,
9000,8,-19.069,1000,28.55,,,,
10000,9,-23.594,1000,30.56,,,,
11000,10,-19.861,1000,43.84,,,,
12000,11,-22.644,1000,45.79,,,,
13000,12,-18.359,1000,50.12,,,,
14000,13,-24.492,1000,52.19,,,,
15000,14,-17.121,1000,56.26,,,,
16000,15,-19.483,1000,58.28,,,,
17000,16,-21.937,1000,62.36,,,,
18000,17,-23.106,1000,64.39,,,,
19000,18,-44.464,1000,68.43,,,,
20000,19,-17.585,1000,70.44,,,,
21000,20,-15.821,1000,83.72,,,,
22000,21,-18.803,1000,85.77,,,,
23000,22,-17.568,1000,90.05,,,,
24000,23,-18.272,1000,92.15,,,,
25000,24,-22.523,1000,96.39,,,,
26000,25,-19.919,1000,98.61,,,,
27000,26,-21.804,1000,102.88,,,,
28000,27,-18.073,1000,105.14,,,,
29000,28,-15.186,1000,109.08,,,,
30000,29,-15.816,1000,111.06,,,,
31000,30,-19.606,1000,127.47,,,,
32000,31,-12.706,1000,130.51,,,,
33000,32,-17.243,1000,136.53,,,,
34000,33,-20.002,1000,139.66,,,,
35000,34,-18.662,1000,145.58,,,,
36000,35,-19.654,1000,148.66,,,,
37000,36,-16.078,1000,154.72,,,,
38000,37,-18.02,1000,157.75,,,,
39000,38,-17.672,1000,163.65,,,,
40000,39,-19.613,1000,166.75,,,,
41000,40,-14.603,1000,184.83,,,,
42000,41,-8.358,1000,188.02,,,,
43000,42,-16.394,1000,191.27,,,,
44000,43,-18.297,1000,197.46,,,,
45000,44,-14.516,1000,201.2,,,,
46000,45,-9.675,1000,207.58,,,,
47000,46,-14.305,1000,211.22,,,,
48000,47,-16.715,1000,217.76,,,,
49000,48,-20.396,1000,221.39,,,,
50000,49,-23.465,1000,227.54,,,,
51000,50,-10.049,1000,242.44,,,,
52000,51,-12.257,1000,248.6,,,,
53000,52,-20.584,1000,251.71,,,,
