timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss,alpha_loss,alpha
12,0,6.027,12,0.0,,,,
28,1,14.684,16,0.01,,,,
52,2,12.126,24,0.01,,,,
69,3,7.104,17,0.01,,,,
85,4,13.579,16,0.01,,,,
105,5,19.456,20,0.02,,,,
122,6,13.497,17,0.02,,,,
148,7,8.697,26,0.02,,,,
171,8,18.71,23,0.03,,,,
210,9,33.788,39,0.03,,,,
232,10,24.274,22,0.04,,,,
285,11,57.54,53,0.06,,,,
299,12,13.224,14,0.06,,,,
311,13,8.799,12,0.06,,,,
369,14,47.361,58,0.07,,,,
406,15,21.938,37,0.08,,,,
421,16,6.202,15,0.08,,,,
434,17,8.195,13,0.08,,,,
446,18,6.993,12,0.08,,,,
475,19,10.424,29,0.09,,,,
510,20,45.769,35,0.1,,,,
529,21,16.657,19,0.11,,,,
546,22,9.383,17,0.11,,,,
557,23,6.502,11,0.11,,,,
569,24,9.246,12,0.12,,,,
597,25,36.468,28,0.12,,,,
609,26,6.257,12,0.12,,,,
617,27,4.703,8,0.12,,,,
634,28,14.869,17,0.13,,,,
650,29,9.639,16,0.13,,,,
664,30,7.916,14,0.13,,,,
689,31,29.471,25,0.13,,,,
718,32,19.569,29,0.14,,,,
732,33,12.175,14,0.14,,,,
756,34,7.35,24,0.14,,,,
780,35,26.088,24,0.15,,,,
804,36,8.795,24,0.15,,,,
819,37,10.726,15,0.15,,,,
843,38,10.199,24,0.16,,,,
874,39,32.033,31,0.16,,,,
901,40,8.801,27,0.16,,,,
924,41,7.337,23,0.17,,,,
942,42,15.33,18,0.17,,,,
951,43,6.694,9,0.17,,,,
982,44,18.951,31,0.18,,,,
1005,45,17.193,23,0.18,,,,
1016,46,4.151,11,0.18,,,,
1032,47,8.517,16,0.18,,,,
1049,48,8.635,17,0.19,,,,
1075,49,26.201,26,0.19,,,,
1088,50,10.743,13,0.19,,,,
1108,51,9.29,20,0.2,,,,
1128,52,12.403,20,0.2,,,,
1146,53,10.509,18,0.2,,,,
1168,54,13.912,22,0.21,,,,
1184,55,12.861,16,0.21,,,,
1224,56,21.258,40,0.22,,,,
1237,57,5.678,13,0.22,,,,
1256,58,11.764,19,0.22,,,,
1289,59,8.815,33,0.23,,,,
1306,60,9.284,17,0.23,,,,
1328,61,21.478,22,0.23,,,,
1353,62,20.838,25,0.24,,,,
1378,63,14.06,25,0.24,,,,
1403,64,18.225,25,0.24,,,,
1416,65,8.813,13,0.25,,,,
1433,66,8.624,17,0.25,,,,
1453,67,19.718,20,0.25,,,,
1474,68,11.685,21,0.25,,,,
1499,69,23.75,25,0.26,,,,
1517,70,15.019,18,0.26,,,,
1529,71,10.135,12,0.26,,,,
1552,72,12.967,23,0.27,,,,
1571,73,9.74,19,0.27,,,,
1588,74,11.996,17,0.27,,,,
1605,75,15.567,17,0.27,,,,
1663,76,48.538,58,0.28,,,,
1678,77,11.297,15,0.28,,,,
1690,78,7.722,12,0.29,,,,
1709,79,13.207,19,0.29,,,,
1734,80,13.098,25,0.29,,,,
1757,81,20.775,23,0.3,,,,
1775,82,13.191,18,0.3,,,,
1800,83,27.558,25,0.3,,,,
1812,84,9.917,12,0.3,,,,
1841,85,21.885,29,0.31,,,,
1855,86,10.652,14,0.31,,,,
1905,87,58.105,50,0.32,,,,
1922,88,8.796,17,0.32,,,,
1950,89,7.348,28,0.32,,,,
1963,90,8.379,13,0.33,,,,
1997,91,17.168,34,0.33,,,,
2030,92,27.225,33,0.34,,,,
2048,93,17.199,18,0.34,,,,
2079,94,17.409,31,0.34,,,,
2090,95,5.833,11,0.34,,,,
2113,96,19.443,23,0.35,,,,
2126,97,10.349,13,0.35,,,,
2197,98,102.895,71,0.36,,,,
2215,99,15.46,18,0.36,,,,
2264,100,83.402,49,0.37,,,,
2291,101,30.72,27,0.37,,,,
2309,102,10.911,18,0.38,,,,
2333,103,21.622,24,0.38,,,,
2358,104,21.499,25,0.38,,,,
2372,105,12.437,14,0.39,,,,
2387,106,8.358,15,0.39,,,,
2408,107,20.773,21,0.39,,,,
2440,108,24.172,32,0.4,,,,
2475,109,33.477,35,0.4,,,,
2498,110,22.737,23,0.41,,,,
2540,111,14.212,42,0.41,,,,
2562,112,20.786,22,0.42,,,,
2585,113,25.055,23,0.42,,,,
2599,114,12.715,14,0.43,,,,
2621,115,23.297,22,0.43,,,,
2634,116,9.567,13,0.43,,,,
2658,117,12.187,24,0.44,,,,
2682,118,13.186,24,0.44,,,,
2694,119,7.463,12,0.44,,,,
2732,120,33.561,38,0.45,,,,
2751,121,12.161,19,0.45,,,,
2773,122,22.745,22,0.45,,,,
2799,123,17.563,26,0.46,,,,
2816,124,10.144,17,0.46,,,,
2828,125,6.649,12,0.46,,,,
2864,126,26.365,36,0.47,,,,
2879,127,7.137,15,0.47,,,,
2896,128,15.698,17,0.47,,,,
2914,129,8.773,18,0.47,,,,
2947,130,10.758,33,0.48,,,,
2970,131,12.25,23,0.49,,,,
2984,132,11.676,14,0.49,,,,
3003,133,15.716,19,0.5,,,,
3015,134,7.885,12,0.5,,,,
3025,135,6.46,10,0.5,,,,
3051,136,11.31,26,0.51,,,,
3083,137,13.644,32,0.51,,,,
3099,138,10.611,16,0.52,,,,
3120,139,13.441,21,0.52,,,,
3138,140,17.637,18,0.52,,,,
3174,141,25.131,36,0.53,,,,
3192,142,16.416,18,0.53,,,,
3214,143,22.503,22,0.54,,,,
3235,144,21.744,21,0.54,,,,
3257,145,10.212,22,0.55,,,,
3284,146,10.707,27,0.55,,,,
3296,147,6.277,12,0.56,,,,
3330,148,28.785,34,0.56,,,,
3346,149,10.379,16,0.56,,,,
3372,150,12.11,26,0.57,,,,
3384,151,8.043,12,0.57,,,,
3437,152,58.456,53,0.58,,,,
3450,153,10.995,13,0.58,,,,
3474,154,17.033,24,0.59,,,,
3534,155,48.805,60,0.6,,,,
3551,156,9.333,17,0.6,,,,
3583,157,31.658,32,0.61,,,,
3616,158,32.87,33,0.61,,,,
3644,159,24.31,28,0.62,,,,
3666,160,5.874,22,0.62,,,,
3681,161,10.904,15,0.62,,,,
3700,162,14.077,19,0.62,,,,
3738,163,35.048,38,0.63,,,,
3749,164,7.089,11,0.64,,,,
3774,165,5.233,25,0.64,,,,
3787,166,10.913,13,0.64,,,,
3797,167,5.625,10,0.64,,,,
3808,168,8.065,11,0.65,,,,
3821,169,10.13,13,0.65,,,,
3838,170,15.946,17,0.65,,,,
3859,171,9.406,21,0.65,,,,
3877,172,9.879,18,0.66,,,,
3898,173,17.186,21,0.66,,,,
3932,174,34.525,34,0.66,,,,
3945,175,11.935,13,0.67,,,,
3962,176,13.136,17,0.67,,,,
3976,177,8.702,14,0.67,,,,
3997,178,11.356,21,0.67,,,,
4050,179,61.811,53,0.68,,,,
4079,180,13.439,29,0.69,,,,
4109,181,13.221,30,0.69,,,,
4119,182,7.856,10,0.69,,,,
4145,183,20.776,26,0.7,,,,
4172,184,20.407,27,0.71,,,,
4198,185,14.055,26,0.71,,,,
4216,186,11.335,18,0.72,,,,
4230,187,11.86,14,0.72,,,,
4241,188,6.447,11,0.72,,,,
4251,189,6.861,10,0.73,,,,
4263,190,9.774,12,0.73,,,,
4285,191,22.933,22,0.73,,,,
4301,192,11.286,16,0.73,,,,
4317,193,9.33,16,0.74,,,,
4335,194,9.8,18,0.74,,,,
4346,195,7.012,11,0.74,,,,
4462,196,227.292,116,0.76,,,,
4481,197,18.534,19,0.76,,,,
4490,198,4.404,9,0.76,,,,
4511,199,13.739,21,0.77,,,,
4543,200,28.784,32,0.77,,,,
4560,201,8.093,17,0.77,,,,
4591,202,33.33,31,0.78,,,,
4601,203,5.596,10,0.78,,,,
4617,204,14.677,16,0.78,,,,
4674,205,51.986,57,0.79,,,,
4715,206,53.69,41,0.8,,,,
4743,207,21.387,28,0.8,,,,
4754,208,6.585,11,0.81,,,,
4763,209,5.502,9,0.81,,,,
4778,210,6.832,15,0.81,,,,
4800,211,12.688,22,0.82,,,,
4834,212,34.032,34,0.83,,,,
4850,213,11.334,16,0.83,,,,
4871,214,21.118,21,0.84,,,,
4888,215,7.275,17,0.84,,,,
4910,216,20.009,22,0.84,,,,
4931,217,16.504,21,0.85,,,,
4955,218,14.588,24,0.85,,,,
4970,219,7.171,15,0.86,,,,
5028,220,84.798,58,1.6,8.213628,-3.158,5.00765,0.991336
5054,221,29.743,26,1.97,3.197974,-4.586291,4.9806,0.983651
5071,222,13.682,17,2.22,2.509528,-4.740401,4.953083,0.978673
