timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss,alpha_loss,alpha
29,0,24.547,29,0.01,,,,
45,1,10.659,16,0.01,,,,
85,2,37.688,40,0.02,,,,
104,3,13.955,19,0.02,,,,
120,4,13.203,16,0.02,,,,
137,5,7.106,17,0.02,,,,
151,6,12.086,14,0.02,,,,
178,7,15.678,27,0.03,,,,
195,8,6.375,17,0.03,,,,
240,9,16.528,45,0.04,,,,
271,10,12.603,31,0.04,,,,
286,11,12.774,15,0.05,,,,
299,12,6.861,13,0.05,,,,
311,13,8.634,12,0.05,,,,
329,14,10.523,18,0.05,,,,
345,15,14.025,16,0.05,,,,
358,16,8.393,13,0.06,,,,
379,17,12.995,21,0.06,,,,
389,18,5.255,10,0.06,,,,
409,19,11.567,20,0.06,,,,
426,20,13.469,17,0.07,,,,
460,21,26.914,34,0.07,,,,
480,22,16.425,20,0.08,,,,
499,23,8.898,19,0.08,,,,
517,24,5.564,18,0.08,,,,
543,25,9.268,26,0.09,,,,
552,26,3.866,9,0.09,,,,
570,27,13.86,18,0.09,,,,
582,28,8.075,12,0.09,,,,
600,29,15.678,18,0.09,,,,
624,30,22.395,24,0.1,,,,
634,31,6.952,10,0.1,,,,
651,32,16.549,17,0.1,,,,
664,33,9.756,13,0.1,,,,
679,34,6.651,15,0.11,,,,
708,35,32.112,29,0.11,,,,
731,36,13.948,23,0.11,,,,
762,37,35.911,31,0.12,,,,
780,38,12.742,18,0.12,,,,
803,39,24.051,23,0.12,,,,
832,40,12.164,29,0.13,,,,
857,41,10.586,25,0.13,,,,
901,42,59.015,44,0.14,,,,
942,43,39.749,41,0.14,,,,
961,44,16.753,19,0.15,,,,
997,45,47.742,36,0.15,,,,
1013,46,10.147,16,0.16,,,,
1035,47,13.22,22,0.16,,,,
1059,48,20.638,24,0.16,,,,
1075,49,9.336,16,0.17,,,,
1104,50,18.226,29,0.17,,,,
1148,51,24.315,44,0.18,,,,
1164,52,8.598,16,0.18,,,,
1178,53,7.042,14,0.18,,,,
1209,54,16.594,31,0.19,,,,
1226,55,8.16,17,0.19,,,,
1239,56,6.551,13,0.19,,,,
1254,57,9.436,15,0.19,,,,
1272,58,9.984,18,0.2,,,,
1281,59,5.095,9,0.2,,,,
1295,60,6.85,14,0.2,,,,
1310,61,9.762,15,0.2,,,,
1338,62,16.019,28,0.21,,,,
1398,63,82.248,60,0.22,,,,
1422,64,17.776,24,0.22,,,,
1455,65,33.229,33,0.22,,,,
1486,66,12.285,31,0.23,,,,
1499,67,9.736,13,0.23,,,,
1518,68,18.059,19,0.23,,,,
1539,69,9.688,21,0.24,,,,
1565,70,26.424,26,0.24,,,,
1586,71,20.634,21,0.24,,,,
1600,72,11.521,14,0.25,,,,
1611,73,8.389,11,0.25,,,,
1629,74,16.801,18,0.25,,,,
1648,75,9.545,19,0.25,,,,
1662,76,4.712,14,0.26,,,,
1677,77,9.18,15,0.26,,,,
1693,78,15.156,16,0.26,,,,
1705,79,6.91,12,0.26,,,,
1724,80,13.142,19,0.27,,,,
1749,81,24.018,25,0.27,,,,
1775,82,21.289,26,0.27,,,,
1785,83,5.309,10,0.28,,,,
1824,84,36.936,39,0.28,,,,
1846,85,21.366,22,0.28,,,,
1935,86,99.938,89,0.3,,,,
1951,87,9.668,16,0.3,,,,
1961,88,6.869,10,0.3,,,,
1984,89,14.324,23,0.31,,,,
2050,90,89.026,66,0.32,,,,
2072,91,14.795,22,0.32,,,,
2090,92,19.782,18,0.32,,,,
2115,93,17.693,25,0.32,,,,
2129,94,11.015,14,0.33,,,,
2142,95,7.22,13,0.33,,,,
2155,96,7.474,13,0.33,,,,
2201,97,35.187,46,0.34,,,,
2248,98,63.308,47,0.35,,,,
2292,99,35.693,44,0.35,,,,
2306,100,9.777,14,0.35,,,,
2322,101,10.174,16,0.36,,,,
2331,102,3.908,9,0.36,,,,
2343,103,6.77,12,0.36,,,,
2354,104,7.429,11,0.36,,,,
2375,105,23.908,21,0.36,,,,
2403,106,17.756,28,0.37,,,,
2432,107,32.045,29,0.37,,,,
2446,108,11.242,14,0.37,,,,
2458,109,8.925,12,0.38,,,,
2548,110,143.714,90,0.39,,,,
2559,111,8.509,11,0.39,,,,
2641,112,101.675,82,0.4,,,,
2682,113,46.155,41,0.41,,,,
2697,114,10.164,15,0.41,,,,
2709,115,7.952,12,0.41,,,,
2730,116,7.621,21,0.42,,,,
2759,117,19.031,29,0.42,,,,
2775,118,13.367,16,0.42,,,,
2787,119,6.267,12,0.42,,,,
2804,120,19.99,17,0.43,,,,
2849,121,44.312,45,0.43,,,,
2862,122,7.476,13,0.43,,,,
2877,123,11.619,15,0.44,,,,
2908,124,31.322,31,0.44,,,,
2920,125,7.415,12,0.44,,,,
2945,126,8.092,25,0.45,,,,
2963,127,6.579,18,0.45,,,,
2995,128,31.935,32,0.46,,,,
3046,129,66.788,51,0.46,,,,
3062,130,11.195,16,0.47,,,,
3076,131,5.291,14,0.47,,,,
3097,132,14.211,21,0.47,,,,
3107,133,6.981,10,0.47,,,,
3125,134,10.749,18,0.48,,,,
3148,135,13.377,23,0.48,,,,
3161,136,8.155,13,0.48,,,,
3194,137,23.948,33,0.49,,,,
3207,138,9.19,13,0.49,,,,
3221,139,11.132,14,0.49,,,,
3236,140,11.286,15,0.49,,,,
3247,141,7.895,11,0.49,,,,
3271,142,6.604,24,0.5,,,,
3337,143,79.537,66,0.51,,,,
3357,144,11.468,20,0.51,,,,
3374,145,12.772,17,0.51,,,,
3394,146,12.773,20,0.52,,,,
3425,147,25.665,31,0.52,,,,
3435,148,5.238,10,0.52,,,,
3462,149,24.753,27,0.53,,,,
3476,150,12.16,14,0.53,,,,
3488,151,9.852,12,0.53,,,,
3514,152,29.813,26,0.54,,,,
3524,153,7.227,10,0.54,,,,
3540,154,10.011,16,0.54,,,,
3561,155,9.815,21,0.54,,,,
3578,156,13.468,17,0.55,,,,
3588,157,7.751,10,0.55,,,,
3606,158,8.898,18,0.55,,,,
3620,159,7.304,14,0.55,,,,
3640,160,20.02,20,0.55,,,,
3666,161,24.309,26,0.56,,,,
3679,162,6.497,13,0.56,,,,
3692,163,8.559,13,0.56,,,,
3716,164,8.493,24,0.57,,,,
3736,165,11.273,20,0.57,,,,
3752,166,9.189,16,0.57,,,,
3767,167,12.945,15,0.57,,,,
3827,168,78.843,60,0.58,,,,
3907,169,128.497,80,0.59,,,,
3919,170,8.17,12,0.6,,,,
3935,171,9.091,16,0.6,,,,
3966,172,24.61,31,0.6,,,,
3979,173,6.343,13,0.6,,,,
3992,174,7.298,13,0.61,,,,
