timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss,alpha_loss,alpha
26,0,19.418,26,0.0,,,,
51,1,10.343,25,0.01,,,,
76,2,26.616,25,0.01,,,,
94,3,16.241,18,0.01,,,,
105,4,7.16,11,0.02,,,,
121,5,10.37,16,0.02,,,,
139,6,17.22,18,0.02,,,,
158,7,5.949,19,0.03,,,,
184,8,27.057,26,0.03,,,,
206,9,16.815,22,0.03,,,,
236,10,26.431,30,0.04,,,,
247,11,6.713,11,0.04,,,,
264,12,8.838,17,0.04,,,,
293,13,28.522,29,0.05,,,,
318,14,29.218,25,0.05,,,,
327,15,5.518,9,0.05,,,,
337,16,5.349,10,0.06,,,,
350,17,8.58,13,0.06,,,,
387,18,37.071,37,0.06,,,,
430,19,62.115,43,0.07,,,,
440,20,6.04,10,0.08,,,,
465,21,23.189,25,0.08,,,,
488,22,14.352,23,0.09,,,,
511,23,13.538,23,0.09,,,,
530,24,18.19,19,0.09,,,,
562,25,33.35,32,0.1,,,,
586,26,22.777,24,0.1,,,,
650,27,90.868,64,0.11,,,,
680,28,25.727,30,0.12,,,,
696,29,11.648,16,0.12,,,,
723,30,15.04,27,0.12,,,,
747,31,17.575,24,0.13,,,,
766,32,7.325,19,0.13,,,,
796,33,22.526,30,0.14,,,,
814,34,11.155,18,0.14,,,,
858,35,64.309,44,0.15,,,,
882,36,24.571,24,0.15,,,,
904,37,11.555,22,0.15,,,,
946,38,44.883,42,0.16,,,,
959,39,9.713,13,0.16,,,,
971,40,6.382,12,0.16,,,,
998,41,16.885,27,0.17,,,,
1020,42,11.149,22,0.17,,,,
1030,43,7.331,10,0.17,,,,
1059,44,12.652,29,0.18,,,,
1082,45,23.613,23,0.18,,,,
1103,46,9.143,21,0.18,,,,
1118,47,7.133,15,0.19,,,,
1133,48,5.85,15,0.19,,,,
1161,49,19.593,28,0.19,,,,
1187,50,19.187,26,0.2,,,,
1203,51,9.69,16,0.2,,,,
1218,52,11.016,15,0.2,,,,
1232,53,8.258,14,0.2,,,,
1246,54,10.921,14,0.21,,,,
1257,55,6.754,11,0.21,,,,
1269,56,6.781,12,0.21,,,,
1282,57,6.189,13,0.21,,,,
1305,58,11.99,23,0.21,,,,
1333,59,16.698,28,0.22,,,,
1352,60,10.52,19,0.22,,,,
1370,61,10.475,18,0.22,,,,
1385,62,9.654,15,0.23,,,,
1403,63,9.429,18,0.23,,,,
1432,64,27.106,29,0.23,,,,
1449,65,10.804,17,0.24,,,,
1465,66,12.689,16,0.24,,,,
1478,67,8.226,13,0.24,,,,
1505,68,31.751,27,0.24,,,,
1538,69,18.366,33,0.25,,,,
1552,70,11.123,14,0.25,,,,
1563,71,6.908,11,0.25,,,,
1592,72,27.593,29,0.26,,,,
1605,73,7.683,13,0.26,,,,
1624,74,13.097,19,0.26,,,,
1656,75,20.905,32,0.27,,,,
1666,76,4.889,10,0.27,,,,
1682,77,9.118,16,0.28,,,,
1700,78,15.65,18,0.28,,,,
1745,79,36.878,45,0.29,,,,
1761,80,9.764,16,0.29,,,,
1779,81,15.752,18,0.29,,,,
1811,82,18.494,32,0.3,,,,
1837,83,6.486,26,0.3,,,,
1849,84,8.262,12,0.3,,,,
1873,85,20.723,24,0.31,,,,
1895,86,14.959,22,0.31,,,,
1912,87,9.591,17,0.32,,,,
1926,88,9.324,14,0.32,,,,
1961,89,18.894,35,0.32,,,,
1977,90,10.152,16,0.33,,,,
2009,91,37.386,32,0.33,,,,
2024,92,12.653,15,0.33,,,,
2049,93,18.364,25,0.34,,,,
