timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss
28,0,-4.634,28,0.01,,
43,1,-1.096,15,0.01,,
72,2,19.693,29,0.05,,
109,3,8.502,37,0.07,,
118,4,-2.359,9,0.08,,
147,5,3.414,29,0.11,,
165,6,-2.202,18,0.12,,
185,7,-3.503,20,0.13,,
202,8,-4.492,17,0.13,,
222,9,-6.735,20,0.14,,
249,10,-7.889,27,0.15,,
261,11,0.759,12,0.16,,
290,12,8.752,29,0.16,,
323,13,2.306,33,0.17,,
334,14,-2.796,11,0.17,,
348,15,3.365,14,0.17,,
357,16,-2.888,9,0.17,,
372,17,3.769,15,0.18,,
410,18,2.669,38,0.18,,
427,19,-1.376,17,0.19,,
446,20,1.492,19,0.19,,
478,21,9.582,32,0.19,,
489,22,-1.626,11,0.2,,
504,23,3.229,15,0.2,,
523,24,-6.079,19,0.21,,
542,25,2.641,19,0.21,,
558,26,6.023,16,0.22,,
574,27,1.985,16,0.22,,
589,28,-1.717,15,0.22,,
603,29,-3.358,14,0.22,,
637,30,8.601,34,0.23,,
653,31,4.481,16,0.23,,
667,32,1.654,14,0.23,,
678,33,-0.885,11,0.23,,
701,34,0.518,23,0.24,,
715,35,-6.795,14,0.24,,
726,36,-1.335,11,0.24,,
748,37,5.702,22,0.24,,
768,38,5.219,20,0.25,,
793,39,3.085,25,0.25,,
829,40,-0.412,36,0.26,,
856,41,-0.752,27,0.26,,
892,42,12.01,36,0.27,,
911,43,6.599,19,0.27,,
928,44,-0.96,17,0.27,,
958,45,-3.618,30,0.28,,
977,46,2.336,19,0.28,,
990,47,-2.173,13,0.28,,
1016,48,1.34,26,0.29,,
1036,49,-10.946,20,0.29,,
1070,50,14.155,34,0.3,,
1087,51,5.613,17,0.3,,
1105,52,0.572,18,0.3,,
1136,53,4.969,31,0.31,,
1153,54,3.896,17,0.31,,
1165,55,-3.863,12,0.32,,
1176,56,0.713,11,0.32,,
1188,57,-3.108,12,0.32,,
1215,58,12.513,27,0.33,,
1231,59,5.495,16,0.33,,
1255,60,-0.064,24,0.34,,
1296,61,19.479,41,0.34,,
1316,62,-2.187,20,0.35,,
1337,63,7.751,21,0.35,,
1355,64,-9.665,18,0.36,,
1370,65,0.008,15,0.36,,
1378,66,-3.772,8,0.36,,
1400,67,-2.903,22,0.37,,
1422,68,6.105,22,0.37,,
1441,69,6.543,19,0.37,,
1466,70,-9.696,25,0.38,,
1477,71,-1.254,11,0.38,,
1489,72,-1.658,12,0.39,,
1504,73,2.16,15,0.39,,
1519,74,1.583,15,0.39,,
1536,75,0.268,17,0.39,,
1549,76,-1.042,13,0.4,,
1562,77,-0.589,13,0.4,,
1579,78,-1.793,17,0.4,,
1611,79,1.879,32,0.41,,
1626,80,3.256,15,0.41,,
1639,81,-2.909,13,0.41,,
1657,82,4.073,18,0.42,,
1669,83,-1.032,12,0.42,,
1691,84,1.963,22,0.42,,
1714,85,-4.744,23,0.43,,
1726,86,-4.698,12,0.43,,
1749,87,-3.738,23,0.43,,
1767,88,4.393,18,0.44,,
1790,89,6.375,23,0.44,,
1804,90,2.631,14,0.44,,
1828,91,-1.272,24,0.45,,
1846,92,2.358,18,0.45,,
1875,93,0.054,29,0.45,,
1897,94,-1.125,22,0.46,,
1920,95,1.439,23,0.47,,
1942,96,-7.609,22,0.47,,
1969,97,1.288,27,0.48,,
1981,98,-3.569,12,0.49,,
2011,99,9.665,30,0.5,,
2026,100,1.85,15,0.51,,
2062,101,4.363,36,0.51,,
2078,102,0.289,16,0.52,,
2100,103,5.903,22,0.52,,
2138,104,8.163,38,0.53,,
2199,105,27.872,61,0.54,,
2241,106,5.136,42,0.55,,
2256,107,-4.816,15,0.55,,
2292,108,8.904,36,0.56,,
2308,109,3.351,16,0.56,,
2339,110,6.587,31,0.56,,
2358,111,8.465,19,0.57,,
2382,112,2.317,24,0.57,,
2400,113,-1.055,18,0.57,,
2416,114,3.106,16,0.58,,
2443,115,9.895,27,0.58,,
2464,116,-6.681,21,0.59,,
2477,117,-0.127,13,0.59,,
2496,118,6.083,19,0.59,,
2509,119,1.122,13,0.59,,
2520,120,-2.426,11,0.6,,
2539,121,-6.131,19,0.6,,
2551,122,-3.268,12,0.6,,
2575,123,-10.251,24,0.6,,
2595,124,-7.164,20,0.61,,
2611,125,3.157,16,0.61,,
2630,126,2.337,19,0.61,,
2640,127,-2.423,10,0.62,,
2651,128,-2.288,11,0.62,,
2668,129,0.143,17,0.62,,
2690,130,-1.078,22,0.62,,
2703,131,1.16,13,0.63,,
2716,132,-3.163,13,0.63,,
2737,133,7.26,21,0.63,,
2766,134,11.619,29,0.64,,
2792,135,7.653,26,0.64,,
2810,136,1.129,18,0.64,,
2831,137,7.173,21,0.65,,
2846,138,-2.016,15,0.65,,
2869,139,-10.089,23,0.65,,
2900,140,2.358,31,0.66,,
2917,141,4.391,17,0.67,,
2935,142,-0.502,18,0.67,,
2959,143,2.269,24,0.67,,
2972,144,-1.357,13,0.67,,
2990,145,-2.241,18,0.68,,
3009,146,0.718,19,0.68,,
3024,147,3.677,15,0.68,,
3034,148,-2.388,10,0.68,,
3053,149,2.244,19,0.69,,
3063,150,-0.706,10,0.69,,
3088,151,1.23,25,0.69,,
3097,152,-2.855,9,0.69,,
3114,153,4.293,17,0.7,,
3141,154,8.627,27,0.7,,
3175,155,14.976,34,0.71,,
3188,156,-1.184,13,0.71,,
3220,157,4.803,32,0.72,,
3256,158,5.411,36,0.72,,
3281,159,-7.588,25,0.73,,
3295,160,2.096,14,0.73,,
3319,161,9.744,24,0.73,,
3363,162,9.348,44,0.74,,
3380,163,-0.375,17,0.74,,
3399,164,2.249,19,0.74,,
3434,165,6.812,35,0.75,,
3461,166,3.301,27,0.75,,
3480,167,-1.535,19,0.76,,
3488,168,-1.914,8,0.76,,
3505,169,4.048,17,0.76,,
3519,170,-0.258,14,0.76,,
3536,171,3.417,17,0.77,,
3552,172,1.993,16,0.77,,
3570,173,1.21,18,0.77,,
3594,174,7.502,24,0.78,,
3623,175,3.955,29,0.78,,
3644,176,6.676,21,0.79,,
3655,177,-0.276,11,0.79,,
3668,178,0.49,13,0.79,,
3688,179,1.554,20,0.79,,
3717,180,7.204,29,0.8,,
3742,181,5.746,25,0.8,,
3775,182,7.02,33,0.81,,
3796,183,2.638,21,0.81,,
3813,184,-8.013,17,0.82,,
3835,185,5.058,22,0.82,,
3862,186,-0.997,27,0.82,,
3882,187,-0.178,20,0.83,,
3906,188,3.285,24,0.83,,
3917,189,-0.293,11,0.83,,
3928,190,-2.401,11,0.83,,
3953,191,10.701,25,0.84,,
3982,192,0.311,29,0.84,,
3995,193,-3.145,13,0.84,,
4008,194,-1.42,13,0.85,,
4027,195,1.476,19,0.85,,
4051,196,-6.715,24,0.85,,
4079,197,-0.991,28,0.86,,
4101,198,9.187,22,0.86,,
4115,199,-8.372,14,0.86,,
4171,200,33.723,56,0.87,,
4186,201,1.112,15,0.87,,
4208,202,6.873,22,0.88,,
4219,203,-1.764,11,0.88,,
4229,204,0.056,10,0.88,,
4239,205,-1.644,10,0.88,,
4250,206,0.068,11,0.89,,
4276,207,3.274,26,0.89,,
4288,208,-0.646,12,0.89,,
