timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
37,0,17.427,37,0.3,,,,
52,1,-0.685,15,0.35,,,,
85,2,1.964,33,0.4,,,,
98,3,-2.081,13,0.42,,,,
114,4,-0.102,16,0.45,,,,
124,5,-0.188,10,0.46,,,,
142,6,-0.424,18,0.49,,,,
158,7,-1.89,16,0.52,,,,
179,8,3.093,21,0.55,,,,
204,9,0.353,25,0.59,,,,
212,10,-0.82,8,0.61,,,,
226,11,0.076,14,0.63,,,,
241,12,-1.778,15,0.65,,,,
264,13,3.116,23,0.69,,,,
285,14,-0.01,21,0.72,,,,
301,15,-1.326,16,0.75,,,,
312,16,-1.97,11,0.76,,,,
327,17,-2.423,15,0.79,,,,
345,18,1.29,18,0.82,,,,
363,19,0.981,18,0.84,,,,
377,20,0.429,14,0.87,,,,
400,21,-1.536,23,0.92,,,,
422,22,-0.212,22,0.96,,,,
446,23,1.011,24,1.0,,,,
463,24,1.715,17,1.02,,,,
487,25,-0.502,24,1.06,,,,
508,26,-1.563,21,1.1,,,,
524,27,0.118,16,1.12,,,,
554,28,3.48,30,1.17,,,,
567,29,-1.394,13,1.19,,,,
581,30,-2.205,14,1.21,,,,
599,31,0.502,18,1.24,,,,
612,32,-1.212,13,1.26,,,,
629,33,0.111,17,1.29,,,,
659,34,0.896,30,1.34,,,,
674,35,0.04,15,1.36,,,,
685,36,-0.412,11,1.38,,,,
696,37,-0.463,11,1.4,,,,
714,38,-0.253,18,1.43,,,,
766,39,-0.097,52,1.51,,,,
781,40,0.045,15,1.53,,,,
802,41,-2.228,21,1.57,,,,
819,42,-2.777,17,1.6,,,,
846,43,-0.252,27,1.64,,,,
866,44,0.417,20,1.67,,,,
888,45,1.217,22,1.71,,,,
913,46,-2.296,25,1.75,,,,
940,47,-0.096,27,1.79,,,,
965,48,2.026,25,1.84,,,,
978,49,-0.155,13,1.86,,,,
990,50,0.005,12,1.88,,,,
1003,51,-0.75,13,1.9,,,,
1035,52,0.371,32,1.95,,,,
1060,53,-2.75,25,2.01,,,,
1067,54,-1.776,7,2.03,,,,
1082,55,0.378,15,2.06,,,,
1096,56,-1.601,14,2.08,,,,
1107,57,-0.326,11,2.1,,,,
1119,58,0.324,12,2.12,,,,
1136,59,-3.943,17,2.15,,,,
1146,60,-0.564,10,2.17,,,,
1169,61,-1.15,23,2.22,,,,
1179,62,-0.158,10,2.25,,,,
1198,63,-0.185,19,2.29,,,,
1217,64,-0.621,19,2.32,,,,
1232,65,0.913,15,2.34,,,,
1251,66,-1.572,19,2.38,,,,
1263,67,-1.289,12,2.4,,,,
1285,68,2.403,22,2.44,,,,
1312,69,-0.886,27,2.48,,,,
1321,70,-1.662,9,2.5,,,,
1339,71,0.948,18,2.53,,,,
1387,72,3.283,48,2.6,,,,
1399,73,-0.104,12,2.62,,,,
1425,74,2.619,26,2.66,,,,
1450,75,1.37,25,2.7,,,,
1465,76,0.357,15,2.73,,,,
1493,77,0.463,28,2.77,,,,
1504,78,0.051,11,2.79,,,,
1515,79,-1.325,11,2.81,,,,
1537,80,-0.954,22,2.84,,,,
1555,81,-0.548,18,2.87,,,,
1566,82,0.043,11,2.89,,,,
1588,83,-1.05,22,2.95,,,,
1602,84,0.626,14,2.97,,,,
1622,85,-2.348,20,3.0,,,,
1634,86,-0.481,12,3.02,,,,
1644,87,-0.654,10,3.04,,,,
1678,88,2.768,34,3.09,,,,
1692,89,-2.692,14,3.12,,,,
1718,90,-0.814,26,3.16,,,,
1738,91,-0.43,20,3.19,,,,
1754,92,-1.425,16,3.21,,,,
1774,93,-0.002,20,3.25,,,,
1800,94,3.054,26,3.29,,,,
1814,95,-1.844,14,3.31,,,,
1837,96,0.648,23,3.35,,,,
1852,97,-0.326,15,3.37,,,,
1873,98,0.32,21,3.4,,,,
1887,99,0.038,14,3.44,,,,
1897,100,-0.527,10,3.47,,,,
1919,101,1.643,22,3.52,,,,
1939,102,-1.219,20,3.57,,,,
1954,103,-0.79,15,3.59,,,,
1969,104,-0.672,15,3.61,,,,
1979,105,-0.924,10,3.63,,,,
1992,106,0.045,13,3.65,,,,
2004,107,-2.322,12,3.67,,,,
2017,108,-0.261,13,3.69,,,,
2032,109,-1.571,15,3.71,,,,
2040,110,-0.803,8,3.73,,,,
2056,111,-1.29,16,6.23,,,,
2073,112,0.721,17,6.26,,,,
2090,113,-0.238,17,6.29,,,,
2104,114,0.901,14,6.32,,,,
2129,115,1.852,25,6.36,,,,
2149,116,0.01,20,6.39,,,,
2159,117,-0.302,10,6.41,,,,
2201,118,0.413,42,6.52,,,,
2226,119,1.289,25,6.56,,,,
2236,120,-0.833,10,6.58,,,,
2246,121,-1.019,10,6.59,,,,
2260,122,-1.002,14,6.62,,,,
2279,123,0.24,19,6.65,,,,
2299,124,-0.435,20,6.68,,,,
2322,125,-0.593,23,6.73,,,,
2336,126,0.759,14,6.75,,,,
2375,127,1.066,39,6.82,,,,
2393,128,-0.393,18,6.85,,,,
2430,129,1.094,37,6.91,,,,
2445,130,-1.124,15,6.94,,,,
2474,131,2.044,29,7.03,,,,
2499,132,0.577,25,7.07,,,,
2521,133,-1.264,22,7.11,,,,
2547,134,0.679,26,7.15,,,,
2558,135,-1.301,11,7.17,,,,
