timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss
1000,0,-253.492,1000,0.08,,
2000,1,-260.083,1000,0.16,,
3000,2,-263.691,1000,0.24,,
4000,3,-318.678,1000,0.32,,
5000,4,-203.726,1000,0.4,,
6000,5,-268.806,1000,0.48,,
7000,6,-264.966,1000,0.56,,
8000,7,-345.075,1000,0.64,,
9000,8,-321.592,1000,0.72,,
10000,9,-170.266,1000,0.8,,
11000,10,-201.494,1000,8.17,,
12000,11,-288.46,1000,8.25,,
13000,12,-289.517,1000,8.33,,
14000,13,-233.022,1000,8.41,,
15000,14,-206.137,1000,8.49,,
16000,15,-344.475,1000,8.57,,
17000,16,-288.705,1000,8.66,,
18000,17,-305.896,1000,8.77,,
19000,18,-325.984,1000,8.87,,
20000,19,-292.552,1000,8.95,,
21000,20,-254.751,1000,16.09,,
22000,21,-264.005,1000,16.17,,
23000,22,-152.139,1000,16.26,,
24000,23,-212.621,1000,16.41,,
25000,24,-407.089,1000,16.61,1.503604,
26000,25,-525.735,1000,23.37,0.499993,-0.283431
27000,26,-491.886,1000,30.59,0.582298,-0.831185
28000,27,-680.021,1000,38.19,0.85139,-1.125156
29000,28,-717.201,1000,45.61,1.203281,-1.228297
30000,29,-570.282,1000,53.31,1.555895,-1.917449
31000,30,-560.783,1000,67.13,1.859708,-3.071668
32000,31,-448.922,1000,74.27,2.071634,-4.357594
33000,32,-450.324,1000,81.43,2.244102,-5.462475
34000,33,-205.188,1000,88.85,2.293528,-6.502842
35000,34,-443.037,1000,96.1,2.390292,-7.444713
36000,35,-549.701,1000,103.16,2.5303,-8.459349
37000,36,-329.852,1000,109.93,2.633447,-9.311014
38000,37,28.068,1000,117.39,2.761609,-10.182385
39000,38,-107.895,1000,124.47,2.807285,-11.108982
40000,39,649.071,1000,131.51,2.990579,-12.16804
41000,40,-490.792,1000,144.61,2.979976,-13.401279
42000,41,60.669,1000,152.03,3.120868,-14.477721
43000,42,172.353,1000,159.56,3.181426,-15.174835
44000,43,1235.936,1000,166.45,3.320353,-15.820584
45000,44,-121.312,1000,173.8,3.524777,-16.419906
46000,45,1777.821,1000,181.1,3.745057,-16.850411
47000,46,316.798,1000,188.64,3.879494,-17.673259
48000,47,650.5,1000,195.9,4.027436,-18.060361
49000,48,-28.694,1000,203.11,4.140646,-18.317066
50000,49,-253.891,1000,210.25,4.222305,-18.256462
51000,50,2188.857,1000,224.17,4.457969,-18.697528
52000,51,330.221,1000,231.73,4.763675,-19.879211
53000,52,224.091,1000,238.81,4.903823,-20.282428
54000,53,2058.669,1000,246.2,5.202305,-20.949473
55000,54,1781.234,1000,253.38,5.626269,-22.655108
56000,55,1966.023,1000,260.87,5.889081,-24.395107
57000,56,-17.393,1000,268.3,6.133003,-25.620128
58000,57,2421.292,1000,275.9,6.333659,-26.6462
59000,58,2259.703,1000,283.52,6.693154,-28.619242
60000,59,2398.642,1000,291.32,7.16832,-30.770314
61000,60,131.007,1000,305.48,7.414213,-32.203431
62000,61,2763.707,1000,312.01,7.594035,-33.676846
63000,62,2487.337,1000,319.09,8.012659,-35.857085
64000,63,2740.854,1000,326.61,8.355875,-38.124173
65000,64,2981.143,1000,333.77,8.67305,-40.580225
66000,65,2961.544,1000,341.03,9.10123,-42.977824
67000,66,2981.329,1000,348.34,9.450166,-45.384704
68000,67,3103.674,1000,355.78,9.858263,-48.33957
69000,68,3149.914,1000,362.56,10.278445,-50.581641
70000,69,3489.84,1000,369.66,10.608243,-53.171261
71000,70,2897.959,1000,384.58,11.082843,-55.969207
72000,71,3737.333,1000,391.94,11.376579,-58.265515
73000,72,1552.413,1000,399.27,11.78381,-61.001232
74000,73,3828.995,1000,406.82,12.025444,-63.302817
75000,74,3937.425,1000,414.47,12.578944,-66.049473
76000,75,3846.873,1000,421.42,12.793237,-69.384291
77000,76,4072.5,1000,428.58,13.274807,-72.235895
78000,77,4087.434,1000,435.57,13.736442,-75.898312
79000,78,3725.707,1000,442.45,14.177985,-78.445103
80000,79,3808.259,1000,449.05,14.535368,-81.890888
81000,80,2973.226,1000,462.32,14.836331,-84.860101
82000,81,3772.327,1000,469.47,15.255378,-87.187442
83000,82,3718.658,1000,476.79,15.778709,-90.308415
84000,83,4341.203,1000,484.1,16.300599,-93.718601
85000,84,4408.264,1000,491.41,16.730335,-96.978726
86000,85,4300.157,1000,498.24,17.066348,-100.112987
87000,86,4130.565,1000,505.55,17.784241,-103.36113
88000,87,4269.264,1000,512.91,18.120946,-106.682527
89000,88,4254.0,1000,520.49,18.401219,-109.7949
90000,89,4438.853,1000,527.68,18.867328,-112.917703
91000,90,4202.468,1000,542.13,19.038807,-115.771247
92000,91,2463.374,1000,549.68,19.720887,-119.188231
93000,92,4241.786,1000,556.57,19.888613,-120.832268
94000,93,4363.099,1000,563.94,20.43019,-124.012324
95000,94,4435.431,1000,571.45,21.018165,-127.278767
96000,95,4033.677,1000,579.03,21.30001,-130.214365
97000,96,4374.621,1000,586.14,21.799726,-133.161004
98000,97,3098.545,1000,593.13,21.862799,-136.014672
99000,98,4484.423,1000,600.4,22.586714,-138.473799
100000,99,4798.103,1000,607.87,22.539894,-141.615892
101000,100,4673.91,1000,621.92,23.181847,-144.015055
102000,101,4690.954,1000,629.45,23.554062,-146.690078
103000,102,4544.719,1000,637.21,24.009362,-148.532732
104000,103,4890.947,1000,644.65,24.101682,-152.806959
105000,104,4679.442,1000,652.29,24.216543,-155.000028
106000,105,4767.91,1000,659.67,24.323555,-158.066382
107000,106,4887.683,1000,667.15,24.701956,-161.205425
