timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
32,0,18.015,32,0.28,,,,
56,1,6.88,24,0.32,,,,
82,2,1.487,26,0.36,,,,
97,3,1.4,15,0.39,,,,
124,4,4.622,27,0.44,,,,
142,5,2.152,18,0.47,,,,
161,6,3.112,19,0.5,,,,
187,7,6.222,26,0.54,,,,
207,8,1.369,20,0.57,,,,
214,9,0.664,7,0.58,,,,
234,10,3.66,20,0.62,,,,
255,11,1.648,21,0.65,,,,
283,12,0.697,28,0.7,,,,
295,13,1.413,12,0.72,,,,
308,14,1.135,13,0.74,,,,
323,15,1.432,15,0.76,,,,
342,16,2.958,19,0.79,,,,
399,17,12.917,57,0.88,,,,
414,18,0.709,15,0.9,,,,
425,19,0.515,11,0.92,,,,
444,20,1.315,19,0.96,,,,
481,21,0.814,37,1.02,,,,
494,22,0.719,13,1.05,,,,
511,23,0.724,17,1.07,,,,
534,24,1.39,23,1.11,,,,
555,25,1.784,21,1.14,,,,
572,26,0.938,17,1.17,,,,
600,27,0.815,28,1.21,,,,
615,28,0.746,15,1.23,,,,
630,29,0.949,15,1.26,,,,
646,30,1.078,16,1.29,,,,
671,31,2.325,25,1.33,,,,
683,32,0.601,12,1.35,,,,
692,33,0.501,9,1.36,,,,
732,34,5.66,40,1.43,,,,
761,35,1.15,29,1.47,,,,
772,36,0.614,11,1.49,,,,
786,37,0.367,14,1.51,,,,
800,38,0.8,14,1.53,,,,
814,39,0.637,14,1.56,,,,
835,40,1.454,21,1.59,,,,
852,41,1.244,17,1.61,,,,
901,42,3.809,49,1.69,,,,
914,43,0.348,13,1.72,,,,
940,44,1.869,26,1.76,,,,
979,45,3.419,39,1.82,,,,
1002,46,1.546,23,1.86,,,,
1022,47,0.775,20,1.89,,,,
1046,48,1.709,24,1.92,,,,
1061,49,0.802,15,1.95,,,,
1084,50,1.37,23,1.98,,,,
1097,51,0.518,13,2.0,,,,
1112,52,1.122,15,2.03,,,,
1122,53,0.454,10,2.04,,,,
1139,54,0.749,17,2.07,,,,
1149,55,0.433,10,2.08,,,,
1165,56,0.35,16,2.11,,,,
1199,57,3.742,34,2.16,,,,
1214,58,0.919,15,2.19,,,,
1240,59,1.503,26,2.23,,,,
1253,60,0.617,13,2.25,,,,
1262,61,0.438,9,2.26,,,,
1284,62,2.223,22,2.3,,,,
1302,63,1.405,18,2.33,,,,
1320,64,1.252,18,2.36,,,,
1355,65,0.587,35,2.44,,,,
1373,66,1.49,18,2.47,,,,
1386,67,0.671,13,2.5,,,,
1397,68,0.758,11,2.53,,,,
1427,69,2.867,30,2.59,,,,
1467,70,4.473,40,2.66,,,,
1494,71,2.591,27,2.7,,,,
1506,72,0.792,12,2.72,,,,
1516,73,0.532,10,2.73,,,,
1526,74,0.656,10,2.75,,,,
1551,75,0.827,25,2.79,,,,
1559,76,0.432,8,2.8,,,,
1593,77,0.951,34,2.85,,,,
1606,78,0.631,13,2.87,,,,
1623,79,0.822,17,2.91,,,,
1641,80,0.928,18,2.95,,,,
1664,81,0.836,23,3.0,,,,
1682,82,1.572,18,3.05,,,,
1691,83,0.496,9,3.06,,,,
1715,84,0.926,24,3.11,,,,
1738,85,1.569,23,3.15,,,,
1750,86,0.63,12,3.18,,,,
1769,87,0.833,19,3.21,,,,
1782,88,0.899,13,3.25,,,,
1797,89,0.891,15,3.27,,,,
1807,90,0.317,10,3.29,,,,
1831,91,0.688,24,3.33,,,,
1850,92,1.782,19,3.36,,,,
1860,93,0.773,10,3.37,,,,
1876,94,0.32,16,3.4,,,,
1898,95,1.324,22,3.43,,,,
1933,96,1.869,35,3.5,,,,
1955,97,1.295,22,3.53,,,,
1967,98,0.695,12,3.55,,,,
1978,99,0.631,11,3.57,,,,
1993,100,0.649,15,3.61,,,,
2017,101,0.923,24,3.65,,,,
2032,102,0.718,15,3.69,,,,
2039,103,0.401,7,3.7,,,,
2055,104,0.665,16,6.32,,,,
2078,105,1.878,23,6.37,,,,
2093,106,0.872,15,6.41,,,,
2107,107,1.3,14,6.46,,,,
2124,108,1.272,17,6.51,,,,
2141,109,1.584,17,6.55,,,,
