timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
1000,0,-46.05,1000,1.87,,,,
2000,1,-14.191,1000,3.62,,,,
3000,2,-15.346,1000,7.52,,,,
4000,3,-16.062,1000,9.19,,,,
5000,4,-22.118,1000,13.08,,,,
6000,5,-21.92,1000,14.75,,,,
7000,6,-21.606,1000,18.84,,,,
8000,7,-23.139,1000,20.53,,,,
9000,8,-19.757,1000,24.58,,,,
10000,9,-20.438,1000,26.27,,,,
11000,10,-21.407,1000,37.43,,,,
12000,11,-23.055,1000,39.07,,,,
13000,12,-23.002,1000,43.2,,,,
14000,13,-29.033,1000,44.88,,,,
15000,14,-17.874,1000,49.01,,,,
16000,15,-20.703,1000,50.77,,,,
17000,16,-22.111,1000,55.0,,,,
18000,17,-20.359,1000,56.68,,,,
19000,18,-20.229,1000,60.79,,,,
20000,19,-21.529,1000,62.56,,,,
21000,20,-21.116,1000,73.88,,,,
22000,21,-23.082,1000,75.64,,,,
23000,22,-21.348,1000,79.9,,,,
24000,23,-19.496,1000,81.79,,,,
25000,24,-14.317,1000,85.82,,,,
26000,25,-20.437,1000,87.65,,,,
27000,26,-28.339,1000,91.74,,,,
28000,27,-19.134,1000,93.58,,,,
29000,28,-14.724,1000,97.68,,,,
30000,29,-15.33,1000,99.62,,,,
31000,30,-23.781,1000,111.0,,,,
32000,31,-25.365,1000,112.74,,,,
33000,32,-25.455,1000,116.38,,,,
34000,33,-19.491,1000,118.07,,,,
35000,34,-24.377,1000,121.92,,,,
36000,35,-17.177,1000,123.66,,,,
37000,36,-20.306,1000,127.46,,,,
38000,37,-22.433,1000,129.22,,,,
39000,38,-14.737,1000,133.26,,,,
40000,39,-18.767,1000,135.02,,,,
41000,40,-16.745,1000,146.45,,,,
42000,41,-21.572,1000,148.19,,,,
43000,42,-17.702,1000,149.93,,,,
44000,43,-21.46,1000,153.95,,,,
45000,44,-21.417,1000,155.68,,,,
46000,45,-13.083,1000,159.56,,,,
47000,46,-19.443,1000,161.38,,,,
