timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
11,0,15.258,11,0.77,,,,
23,1,4.434,12,0.79,,,,
45,2,6.038,22,0.83,,,,
57,3,1.343,12,0.84,,,,
74,4,3.016,17,0.87,,,,
89,5,3.858,15,0.9,,,,
106,6,1.923,17,0.94,,,,
116,7,1.679,10,0.95,,,,
130,8,1.879,14,0.98,,,,
155,9,1.105,25,1.03,,,,
166,10,1.836,11,1.05,,,,
187,11,3.824,21,1.1,,,,
201,12,2.903,14,1.13,,,,
215,13,2.186,14,1.15,,,,
232,14,2.832,17,1.19,,,,
242,15,2.019,10,1.21,,,,
266,16,6.44,24,1.26,,,,
276,17,1.574,10,1.28,,,,
297,18,2.269,21,1.32,,,,
316,19,3.021,19,1.37,,,,
355,20,3.035,39,1.46,,,,
370,21,3.138,15,1.48,,,,
387,22,2.206,17,1.51,,,,
411,23,4.453,24,1.57,,,,
424,24,1.401,13,1.6,,,,
442,25,2.534,18,1.63,,,,
481,26,10.157,39,1.7,,,,
493,27,1.467,12,1.72,,,,
512,28,1.251,19,1.75,,,,
526,29,1.878,14,1.78,,,,
539,30,1.331,13,1.8,,,,
574,31,2.729,35,1.87,,,,
594,32,1.476,20,1.91,,,,
609,33,1.134,15,1.95,,,,
635,34,0.43,26,2.0,,,,
651,35,1.551,16,2.03,,,,
670,36,1.655,19,2.07,,,,
689,37,3.347,19,2.1,,,,
710,38,2.936,21,2.13,,,,
724,39,0.347,14,2.15,,,,
737,40,1.188,13,2.18,,,,
749,41,1.391,12,2.2,,,,
757,42,0.734,8,2.21,,,,
766,43,0.78,9,2.23,,,,
782,44,1.86,16,2.25,,,,
807,45,1.884,25,2.3,,,,
825,46,2.631,18,2.33,,,,
849,47,3.33,24,2.38,,,,
868,48,2.179,19,2.42,,,,
910,49,7.533,42,2.49,,,,
928,50,2.662,18,2.52,,,,
952,51,2.948,24,2.56,,,,
965,52,1.656,13,2.58,,,,
979,53,1.743,14,2.61,,,,
992,54,0.972,13,2.63,,,,
1009,55,2.29,17,2.65,,,,
1022,56,1.322,13,2.67,,,,
1035,57,1.023,13,2.69,,,,
1056,58,2.735,21,2.73,,,,
1076,59,2.268,20,2.77,,,,
1090,60,1.235,14,2.81,,,,
1103,61,1.354,13,2.83,,,,
1114,62,1.284,11,2.85,,,,
1124,63,1.16,10,2.86,,,,
1138,64,1.23,14,2.88,,,,
1166,65,4.734,28,2.93,,,,
1193,66,4.257,27,2.98,,,,
1207,67,0.914,14,3.0,,,,
1225,68,0.87,18,3.05,,,,
1239,69,1.173,14,3.07,,,,
1250,70,1.018,11,3.09,,,,
1262,71,1.147,12,3.11,,,,
1279,72,2.022,17,3.14,,,,
1359,73,14.8,80,3.31,,,,
1373,74,0.648,14,3.33,,,,
1389,75,0.928,16,3.38,,,,
1400,76,0.782,11,3.41,,,,
1416,77,1.31,16,3.45,,,,
1436,78,1.014,20,3.49,,,,
1449,79,1.018,13,3.51,,,,
1465,80,0.959,16,3.55,,,,
1476,81,0.704,11,3.56,,,,
1500,82,1.307,24,3.61,,,,
1518,83,1.024,18,3.64,,,,
1551,84,0.781,33,3.7,,,,
1609,85,6.119,58,3.81,,,,
1622,86,0.686,13,3.83,,,,
1652,87,1.611,30,3.88,,,,
1689,88,1.26,37,3.94,,,,
1724,89,5.077,35,4.02,,,,
1764,90,1.921,40,4.09,,,,
1782,91,1.134,18,4.13,,,,
1801,92,0.66,19,4.16,,,,
1817,93,1.403,16,4.19,,,,
1835,94,0.335,18,4.22,,,,
1849,95,0.744,14,4.25,,,,
1873,96,1.393,24,4.29,,,,
1918,97,3.277,45,4.37,,,,
1928,98,0.556,10,4.39,,,,
1959,99,2.771,31,4.44,,,,
1968,100,0.513,9,4.46,,,,
1992,101,1.185,24,4.5,,,,
2021,102,1.591,29,4.56,,,,
2048,103,1.736,27,4.61,,,,
2127,104,10.189,79,7.46,,,,
2170,105,3.681,43,7.68,,,,
2188,106,1.539,18,7.71,,,,
2199,107,0.548,11,7.74,,,,
2209,108,0.516,10,7.76,,,,
2276,109,8.558,67,7.9,,,,
2301,110,0.77,25,7.95,,,,
2317,111,1.116,16,7.98,,,,
2337,112,0.654,20,8.02,,,,
2352,113,1.146,15,8.05,,,,
2373,114,1.135,21,8.1,,,,
2386,115,0.878,13,8.12,,,,
2408,116,0.88,22,8.16,,,,
2439,117,0.939,31,8.22,,,,
2455,118,1.141,16,8.25,,,,
2469,119,0.664,14,8.28,,,,
2501,120,0.98,32,8.34,,,,
2529,121,2.542,28,8.39,,,,
2547,122,1.237,18,8.43,,,,
2555,123,0.244,8,8.45,,,,
2575,124,1.067,20,8.49,,,,
2596,125,1.36,21,8.54,,,,
