timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
19,0,8.353,19,0.3,,,,
48,1,-1.079,29,0.36,,,,
67,2,-3.579,19,0.39,,,,
80,3,-2.066,13,0.42,,,,
89,4,-2.387,9,0.43,,,,
108,5,-0.334,19,0.48,,,,
116,6,-1.685,8,0.49,,,,
129,7,-0.062,13,0.52,,,,
142,8,-2.087,13,0.54,,,,
166,9,1.338,24,0.58,,,,
181,10,-1.185,15,0.61,,,,
193,11,-2.7,12,0.63,,,,
217,12,-3.467,24,0.68,,,,
236,13,-2.804,19,0.71,,,,
252,14,2.46,16,0.74,,,,
266,15,-0.669,14,0.76,,,,
289,16,-1.002,23,0.8,,,,
306,17,0.739,17,0.83,,,,
321,18,-0.083,15,0.85,,,,
345,19,-1.088,24,0.89,,,,
373,20,-0.998,28,0.97,,,,
387,21,-5.517,14,1.01,,,,
398,22,0.584,11,1.04,,,,
413,23,-1.367,15,1.06,,,,
429,24,-1.787,16,1.08,,,,
453,25,-3.412,24,1.12,,,,
460,26,-1.447,7,1.13,,,,
488,27,4.224,28,1.18,,,,
515,28,0.544,27,1.22,,,,
523,29,-1.267,8,1.23,,,,
540,30,1.63,17,1.26,,,,
556,31,-1.765,16,1.29,,,,
565,32,-0.863,9,1.31,,,,
583,33,0.889,18,1.34,,,,
602,34,1.576,19,1.37,,,,
624,35,-0.296,22,1.4,,,,
647,36,-0.474,23,1.44,,,,
668,37,-4.026,21,1.47,,,,
680,38,-1.066,12,1.49,,,,
703,39,0.926,23,1.53,,,,
725,40,-0.584,22,1.56,,,,
739,41,-1.071,14,1.59,,,,
756,42,1.763,17,1.61,,,,
763,43,-1.652,7,1.63,,,,
787,44,2.273,24,1.67,,,,
811,45,-2.103,24,1.71,,,,
827,46,0.917,16,1.73,,,,
835,47,-1.558,8,1.75,,,,
852,48,-1.205,17,1.77,,,,
861,49,-0.878,9,1.79,,,,
871,50,-0.89,10,1.8,,,,
892,51,-0.203,21,1.84,,,,
904,52,0.022,12,1.86,,,,
921,53,0.814,17,1.89,,,,
950,54,1.76,29,1.94,,,,
975,55,1.624,25,1.98,,,,
991,56,-0.038,16,2.0,,,,
1017,57,3.099,26,2.05,,,,
1026,58,-0.804,9,2.06,,,,
1034,59,-0.975,8,2.07,,,,
1059,60,-0.808,25,2.11,,,,
1084,61,-0.361,25,2.15,,,,
1103,62,-1.207,19,2.19,,,,
1131,63,1.536,28,2.23,,,,
1143,64,-2.003,12,2.26,,,,
1153,65,-0.944,10,2.29,,,,
1168,66,-1.645,15,2.31,,,,
1184,67,0.072,16,2.34,,,,
1208,68,-2.732,24,2.38,,,,
1238,69,-0.428,30,2.42,,,,
1258,70,-0.74,20,2.46,,,,
1276,71,-3.44,18,2.5,,,,
1295,72,-0.642,19,2.53,,,,
1308,73,1.054,13,2.55,,,,
1321,74,-0.914,13,2.57,,,,
1333,75,0.105,12,2.59,,,,
1357,76,1.074,24,2.63,,,,
1388,77,2.015,31,2.68,,,,
1400,78,0.485,12,2.71,,,,
1420,79,-1.754,20,2.74,,,,
1436,80,-3.221,16,2.77,,,,
1451,81,-2.252,15,2.79,,,,
1475,82,-1.561,24,2.84,,,,
1493,83,0.912,18,2.86,,,,
1511,84,2.006,18,2.89,,,,
1523,85,0.374,12,2.91,,,,
1540,86,0.618,17,2.94,,,,
1555,87,-1.064,15,2.96,,,,
1576,88,1.498,21,3.0,,,,
1595,89,0.193,19,3.02,,,,
1611,90,-3.268,16,3.05,,,,
1626,91,-2.095,15,3.07,,,,
1639,92,-1.065,13,3.09,,,,
1652,93,-0.773,13,3.12,,,,
1662,94,-0.33,10,3.13,,,,
1677,95,-2.658,15,3.16,,,,
1692,96,0.84,15,3.2,,,,
1713,97,0.505,21,3.23,,,,
1727,98,-2.329,14,3.25,,,,
1751,99,-3.984,24,3.29,,,,
1765,100,0.408,14,3.31,,,,
1789,101,2.204,24,3.35,,,,
1804,102,-0.945,15,3.37,,,,
1833,103,-1.735,29,3.42,,,,
1843,104,-0.884,10,3.44,,,,
1865,105,1.068,22,3.47,,,,
1892,106,-0.412,27,3.52,,,,
1925,107,2.718,33,3.58,,,,
1939,108,-0.941,14,3.6,,,,
1962,109,0.485,23,3.64,,,,
1973,110,-0.011,11,3.66,,,,
1994,111,-0.634,21,3.69,,,,
2020,112,0.732,26,3.74,,,,
2031,113,-1.383,11,3.75,,,,
2051,114,-0.2,20,6.2,,,,
2065,115,-0.296,14,6.23,,,,
2074,116,-0.815,9,6.25,,,,
2099,117,-1.054,25,6.29,,,,
2128,118,-0.724,29,6.35,,,,
2140,119,-2.525,12,6.37,,,,
2153,120,0.492,13,6.39,,,,
2183,121,0.727,30,6.44,,,,
2216,122,3.989,33,6.51,,,,
2231,123,1.133,15,6.53,,,,
2247,124,0.066,16,6.56,,,,
2269,125,0.36,22,6.59,,,,
2280,126,-0.093,11,6.61,,,,
2292,127,0.274,12,6.63,,,,
2302,128,-0.461,10,6.65,,,,
2324,129,0.152,22,6.69,,,,
2338,130,-1.746,14,6.72,,,,
2379,131,3.764,41,6.8,,,,
2404,132,2.095,25,6.84,,,,
2428,133,-0.08,24,6.88,,,,
2446,134,0.363,18,6.91,,,,
2468,135,-1.993,22,6.95,,,,
2489,136,1.869,21,6.99,,,,
2508,137,-1.811,19,7.02,,,,
2520,138,-2.358,12,7.04,,,,
2530,139,-0.669,10,7.05,,,,
2551,140,-0.623,21,7.09,,,,
2576,141,1.547,25,7.13,,,,
2586,142,-1.085,10,7.15,,,,
2619,143,0.597,33,7.21,,,,
2643,144,-0.988,24,7.25,,,,
2672,145,-0.711,29,7.3,,,,
2685,146,-0.894,13,7.32,,,,
2699,147,-0.881,14,7.35,,,,
2721,148,-1.746,22,7.38,,,,
2743,149,-2.074,22,7.42,,,,
2751,150,-1.378,8,7.44,,,,
2771,151,-0.719,20,7.47,,,,
2826,152,1.437,55,7.56,,,,
2840,153,-0.544,14,7.59,,,,
2851,154,-0.318,11,7.6,,,,
2863,155,0.006,12,7.62,,,,
2887,156,2.356,24,7.66,,,,
2904,157,0.13,17,7.69,,,,
2940,158,3.181,36,7.75,,,,
2954,159,-0.654,14,7.78,,,,
2982,160,1.263,28,7.82,,,,
3009,161,1.333,27,7.87,,,,
3027,162,0.374,18,7.9,,,,
3033,163,-1.506,6,7.91,,,,
3048,164,0.572,15,7.94,,,,
3063,165,0.541,15,7.97,,,,
3089,166,-1.595,26,8.01,,,,
3106,167,1.248,17,8.04,,,,
3130,168,2.2,24,8.08,,,,
3169,169,4.667,39,8.15,,,,
3195,170,1.107,26,8.2,,,,
3216,171,-0.544,21,8.23,,,,
3245,172,2.928,29,8.29,,,,
3258,173,-1.778,13,8.31,,,,
3278,174,-0.127,20,8.35,,,,
3321,175,1.522,43,8.42,,,,
3340,176,1.926,19,8.46,,,,
3352,177,-1.112,12,8.48,,,,
3366,178,-1.412,14,8.51,,,,
3384,179,0.161,18,8.54,,,,
3400,180,-1.332,16,8.57,,,,
3438,181,0.596,38,8.64,,,,
3456,182,-1.755,18,8.67,,,,
3482,183,1.194,26,8.72,,,,
3496,184,-0.365,14,8.74,,,,
3505,185,-1.007,9,8.76,,,,
3546,186,1.952,41,8.83,,,,
3566,187,0.646,20,8.86,,,,
3580,188,0.706,14,8.89,,,,
3593,189,-0.739,13,8.91,,,,
3635,190,5.546,42,9.0,,,,
3654,191,1.134,19,9.04,,,,
3677,192,2.154,23,9.08,,,,
3689,193,0.4,12,9.1,,,,
3735,194,4.577,46,9.19,,,,
3753,195,-0.828,18,9.22,,,,
3767,196,-0.843,14,9.25,,,,
3791,197,-0.694,24,9.29,,,,
3840,198,1.72,49,9.38,,,,
3862,199,-0.563,22,9.42,,,,
3889,200,2.35,27,9.47,,,,
3927,201,0.258,38,9.54,,,,
3952,202,1.148,25,9.58,,,,
3979,203,1.138,27,9.63,,,,
4000,204,1.016,21,9.67,,,,
4017,205,-0.163,17,9.7,,,,
4036,206,1.289,19,9.73,,,,
4053,207,-1.113,17,9.77,,,,
4075,208,-0.658,22,9.82,,,,
4091,209,-0.893,16,9.86,,,,
4126,210,-0.208,35,12.42,,,,
4147,211,-0.044,21,12.46,,,,
4180,212,3.663,33,12.53,,,,
4203,213,1.894,23,12.57,,,,
4221,214,1.892,18,12.6,,,,
4246,215,0.646,25,12.65,,,,
4324,216,3.45,78,12.8,,,,
4346,217,1.407,22,12.84,,,,
4381,218,1.748,35,12.91,,,,
4403,219,0.262,22,12.95,,,,
4418,220,1.206,15,12.97,,,,
4434,221,-0.141,16,13.0,,,,
4481,222,5.542,47,13.08,,,,
