timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss
38,0,22.415,38,0.01,,
50,1,7.923,12,0.01,,
68,2,18.148,18,0.01,,
81,3,9.925,13,0.02,,
103,4,22.222,22,0.02,,
117,5,9.48,14,0.02,,
141,6,13.483,24,0.02,,
154,7,10.472,13,0.03,,
175,8,17.848,21,0.03,,
195,9,18.115,20,0.03,,
213,10,12.962,18,0.04,,
280,11,77.037,67,0.05,,
292,12,10.706,12,0.05,,
312,13,10.645,20,0.05,,
327,14,9.187,15,0.05,,
340,15,6.241,13,0.06,,
363,16,22.969,23,0.06,,
377,17,12.273,14,0.06,,
387,18,5.573,10,0.06,,
418,19,22.859,31,0.07,,
435,20,13.325,17,0.07,,
465,21,19.479,30,0.07,,
485,22,21.705,20,0.08,,
513,23,29.291,28,0.08,,
537,24,14.772,24,0.09,,
576,25,34.946,39,0.09,,
592,26,8.198,16,0.09,,
613,27,11.209,21,0.1,,
631,28,10.969,18,0.1,,
643,29,7.926,12,0.1,,
680,30,30.862,37,0.11,,
710,31,25.711,30,0.11,,
724,32,9.153,14,0.11,,
741,33,11.86,17,0.12,,
764,34,20.913,23,0.12,,
776,35,8.002,12,0.12,,
816,36,31.219,40,0.13,,
830,37,9.868,14,0.13,,
848,38,8.323,18,0.13,,
862,39,12.441,14,0.14,,
883,40,14.814,21,0.14,,
912,41,35.326,29,0.14,,
926,42,10.975,14,0.15,,
943,43,14.925,17,0.15,,
969,44,6.195,26,0.15,,
1000,45,37.993,31,0.16,,
1010,46,5.403,10,0.16,,
1074,47,101.161,64,0.17,,
1093,48,5.619,19,0.17,,
1114,49,13.815,21,0.17,,
1128,50,5.464,14,0.18,,
1146,51,13.551,18,0.18,,
1178,52,27.577,32,0.19,,
1204,53,5.934,26,0.19,,
1241,54,31.033,37,0.2,,
1258,55,12.041,17,0.2,,
1279,56,10.859,21,0.2,,
1297,57,15.895,18,0.2,,
1316,58,11.587,19,0.21,,
1342,59,28.35,26,0.21,,
1387,60,61.366,45,0.22,,
1404,61,10.29,17,0.22,,
1427,62,16.796,23,0.22,,
1441,63,8.854,14,0.23,,
1461,64,9.263,20,0.23,,
1470,65,6.423,9,0.23,,
1485,66,9.477,15,0.23,,
1498,67,6.836,13,0.23,,
1512,68,9.429,14,0.24,,
1530,69,13.175,18,0.24,,
1542,70,8.808,12,0.24,,
1561,71,15.715,19,0.24,,
1575,72,7.942,14,0.24,,
1589,73,9.069,14,0.25,,
1603,74,10.472,14,0.25,,
1632,75,20.948,29,0.25,,
1663,76,11.659,31,0.26,,
1683,77,18.649,20,0.26,,
1714,78,19.143,31,0.27,,
1756,79,39.822,42,0.27,,
1771,80,7.684,15,0.27,,
1794,81,22.665,23,0.28,,
1828,82,31.647,34,0.28,,
1842,83,10.019,14,0.28,,
1859,84,8.455,17,0.29,,
1884,85,23.997,25,0.29,,
1900,86,12.128,16,0.29,,
1921,87,24.39,21,0.3,,
1933,88,9.328,12,0.3,,
1954,89,17.082,21,0.3,,
1977,90,17.004,23,0.31,,
1993,91,13.32,16,0.31,,
