timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss
14,0,9.501,14,0.0,,
37,1,17.5,23,0.01,,
56,2,16.273,19,0.01,,
81,3,18.769,25,0.01,,
99,4,12.441,18,0.02,,
137,5,29.258,38,0.02,,
149,6,6.539,12,0.03,,
163,7,11.036,14,0.03,,
195,8,22.001,32,0.04,,
205,9,6.333,10,0.04,,
218,10,10.077,13,0.04,,
252,11,30.991,34,0.04,,
273,12,11.416,21,0.05,,
353,13,147.62,80,0.06,,
388,14,16.328,35,0.06,,
406,15,18.084,18,0.07,,
423,16,9.454,17,0.07,,
452,17,13.623,29,0.07,,
479,18,25.352,27,0.08,,
491,19,6.133,12,0.08,,
615,20,217.807,124,0.1,,
625,21,6.195,10,0.1,,
641,22,14.539,16,0.1,,
673,23,20.793,32,0.11,,
694,24,17.678,21,0.11,,
730,25,41.949,36,0.12,,
744,26,5.978,14,0.12,,
759,27,9.458,15,0.13,,
768,28,4.984,9,0.13,,
780,29,8.724,12,0.13,,
791,30,7.861,11,0.13,,
812,31,23.428,21,0.13,,
825,32,9.294,13,0.14,,
862,33,37.291,37,0.14,,
871,34,5.405,9,0.14,,
901,35,10.381,30,0.15,,
914,36,8.958,13,0.15,,
928,37,6.085,14,0.15,,
949,38,18.666,21,0.15,,
969,39,14.435,20,0.16,,
999,40,13.029,30,0.16,,
1011,41,9.154,12,0.16,,
1039,42,25.674,28,0.17,,
1075,43,18.692,36,0.17,,
1097,44,11.541,22,0.18,,
1110,45,7.712,13,0.18,,
1127,46,11.051,17,0.18,,
1150,47,11.288,23,0.18,,
1166,48,8.477,16,0.19,,
1182,49,8.15,16,0.19,,
1204,50,6.919,22,0.19,,
1238,51,32.826,34,0.2,,
1253,52,7.949,15,0.2,,
1273,53,10.974,20,0.2,,
1301,54,13.022,28,0.21,,
1325,55,16.715,24,0.21,,
1339,56,10.433,14,0.21,,
1348,57,5.854,9,0.21,,
1368,58,19.33,20,0.22,,
1424,59,49.855,56,0.23,,
1437,60,9.147,13,0.23,,
1452,61,10.313,15,0.23,,
1470,62,7.55,18,0.23,,
1499,63,16.443,29,0.24,,
1510,64,7.499,11,0.24,,
1529,65,14.574,19,0.24,,
1558,66,28.952,29,0.24,,
1572,67,10.089,14,0.25,,
1587,68,7.029,15,0.25,,
1600,69,8.027,13,0.25,,
1616,70,7.944,16,0.25,,
1662,71,41.41,46,0.26,,
1673,72,7.518,11,0.26,,
1690,73,12.636,17,0.26,,
1703,74,8.573,13,0.27,,
1730,75,16.888,27,0.27,,
1737,76,3.587,7,0.27,,
1757,77,15.752,20,0.27,,
1782,78,13.908,25,0.28,,
1798,79,9.186,16,0.28,,
1829,80,15.7,31,0.28,,
1844,81,9.478,15,0.29,,
1864,82,16.353,20,0.29,,
1908,83,36.157,44,0.3,,
1935,84,12.87,27,0.3,,
1972,85,7.686,37,0.31,,
1998,86,16.802,26,0.31,,
2014,87,13.522,16,0.31,,
2028,88,10.064,14,0.31,,
2043,89,7.264,15,0.32,,
2069,90,23.889,26,0.32,,
2103,91,43.856,34,0.33,,
2116,92,9.157,13,0.33,,
2149,93,27.512,33,0.33,,
2168,94,18.365,19,0.34,,
2189,95,15.624,21,0.34,,
2204,96,13.689,15,0.34,,
2216,97,6.215,12,0.34,,
2233,98,11.24,17,0.35,,
2245,99,8.751,12,0.35,,
2267,100,23.966,22,0.35,,
2304,101,39.154,37,0.36,,
2318,102,9.093,14,0.36,,
2343,103,28.743,25,0.36,,
2377,104,23.618,34,0.37,,
2396,105,13.423,19,0.37,,
2406,106,7.158,10,0.37,,
2430,107,18.386,24,0.38,,
2439,108,6.057,9,0.38,,
2452,109,8.128,13,0.38,,
2475,110,17.565,23,0.38,,
2498,111,13.757,23,0.39,,
2514,112,8.382,16,0.39,,
2540,113,33.835,26,0.39,,
2569,114,29.252,29,0.4,,
2590,115,21.518,21,0.4,,
2605,116,8.218,15,0.4,,
2636,117,13.872,31,0.41,,
2657,118,18.455,21,0.41,,
2706,119,28.473,49,0.42,,
2718,120,7.535,12,0.42,,
2759,121,29.261,41,0.43,,
2780,122,15.426,21,0.43,,
2796,123,9.511,16,0.43,,
2822,124,24.095,26,0.43,,
2837,125,12.898,15,0.44,,
2855,126,13.081,18,0.44,,
2871,127,8.767,16,0.44,,
2909,128,24.234,38,0.45,,
2938,129,32.43,29,0.45,,
3000,130,60.204,62,0.46,,
3024,131,12.393,24,0.46,,
3055,132,31.171,31,0.47,,
3071,133,10.76,16,0.47,,
3085,134,7.623,14,0.47,,
3100,135,7.306,15,0.48,,
3113,136,8.684,13,0.48,,
3153,137,38.922,40,0.48,,
3165,138,8.108,12,0.48,,
3200,139,29.971,35,0.49,,
3231,140,15.117,31,0.49,,
3258,141,19.639,27,0.5,,
3275,142,14.681,17,0.5,,
3304,143,23.554,29,0.51,,
3335,144,13.266,31,0.51,,
3360,145,22.416,25,0.51,,
3379,146,11.393,19,0.52,,
3414,147,26.511,35,0.52,,
3430,148,12.989,16,0.53,,
3451,149,9.928,21,0.53,,
3485,150,21.935,34,0.53,,
3501,151,10.176,16,0.54,,
3518,152,8.684,17,0.54,,
3535,153,11.757,17,0.54,,
3552,154,13.462,17,0.54,,
3570,155,17.742,18,0.55,,
3582,156,8.56,12,0.55,,
3643,157,84.458,61,0.56,,
3654,158,7.517,11,0.56,,
3677,159,17.112,23,0.56,,
3694,160,14.225,17,0.57,,
3717,161,18.334,23,0.57,,
3735,162,14.39,18,0.57,,
3747,163,6.068,12,0.57,,
3757,164,6.447,10,0.57,,
3780,165,24.187,23,0.58,,
3803,166,13.309,23,0.58,,
3843,167,39.314,40,0.59,,
3894,168,84.988,51,0.59,,
3907,169,9.717,13,0.6,,
3924,170,12.174,17,0.6,,
3950,171,26.225,26,0.6,,
3980,172,35.034,30,0.61,,
3993,173,6.498,13,0.61,,
4016,174,8.974,23,0.61,,
4115,175,191.107,99,0.63,,
4134,176,6.864,19,0.63,,
4142,177,3.965,8,0.63,,
4160,178,13.333,18,0.64,,
4174,179,7.399,14,0.64,,
4208,180,36.229,34,0.65,,
4219,181,7.552,11,0.65,,
4235,182,7.594,16,0.66,,
4247,183,9.214,12,0.66,,
4278,184,14.042,31,0.68,,
4298,185,15.98,20,0.68,,
4326,186,32.262,28,0.69,,
4343,187,13.416,17,0.69,,
4374,188,12.94,31,0.7,,
4414,189,30.537,40,0.72,,
4432,190,15.426,18,0.73,,
4459,191,24.149,27,0.74,,
4483,192,16.431,24,0.75,,
4496,193,8.088,13,0.76,,
4512,194,14.675,16,0.76,,
4528,195,10.003,16,0.77,,
4545,196,6.777,17,0.78,,
4559,197,12.345,14,0.78,,
4577,198,9.908,18,0.79,,
4609,199,24.826,32,0.8,,
4624,200,13.455,15,0.8,,
4634,201,6.823,10,0.8,,
4650,202,14.25,16,0.81,,
4663,203,10.963,13,0.81,,
4697,204,31.598,34,0.81,,
4712,205,11.169,15,0.81,,
4744,206,17.58,32,0.82,,
4765,207,16.707,21,0.82,,
4778,208,8.837,13,0.82,,
4848,209,96.423,70,0.83,,
4862,210,7.316,14,0.84,,
4883,211,10.716,21,0.84,,
4905,212,20.404,22,0.84,,
4930,213,17.908,25,0.85,,
4947,214,10.708,17,0.85,,
4960,215,8.274,13,0.85,,
4991,216,22.224,31,0.86,,
5010,217,10.202,19,0.86,,
5025,218,6.854,15,0.86,,
5050,219,15.591,25,0.86,,
5078,220,28.686,28,0.87,,
5102,221,11.947,24,0.87,,
5119,222,8.556,17,0.87,,
5128,223,3.336,9,0.88,,
5143,224,10.755,15,0.88,,
5154,225,7.414,11,0.88,,
5167,226,4.185,13,0.88,,
5193,227,24.18,26,0.88,,
5209,228,9.479,16,0.89,,
5229,229,23.017,20,0.89,,
5256,230,23.277,27,0.89,,
5267,231,8.734,11,0.9,,
5293,232,5.677,26,0.9,,
5323,233,25.975,30,0.9,,
5356,234,35.426,33,0.91,,
5374,235,10.407,18,0.91,,
5390,236,10.665,16,0.91,,
5406,237,9.118,16,0.92,,
5418,238,8.548,12,0.92,,
5430,239,6.382,12,0.92,,
5444,240,5.789,14,0.92,,
5465,241,13.277,21,0.92,,
5510,242,22.817,45,0.93,,
5544,243,41.454,34,0.94,,
5555,244,6.842,11,0.94,,
5610,245,67.536,55,0.95,,
5636,246,24.979,26,0.95,,
5667,247,15.978,31,0.95,,
5702,248,27.995,35,0.96,,
5733,249,12.037,31,0.97,,
5752,250,19.153,19,0.97,,
5776,251,19.749,24,0.97,,
5793,252,8.213,17,0.98,,
5808,253,12.608,15,0.98,,
5874,254,95.098,66,0.99,,
5903,255,23.705,29,0.99,,
5961,256,64.3,58,1.0,,
5978,257,9.707,17,1.0,,
5995,258,9.784,17,1.01,,
6031,259,36.089,36,1.01,,
6058,260,25.461,27,1.01,,
6075,261,14.501,17,1.02,,
6096,262,9.597,21,1.02,,
6117,263,12.04,21,1.02,,
6177,264,61.87,60,1.03,,
6217,265,47.058,40,1.04,,
6237,266,14.742,20,1.04,,
6258,267,19.766,21,1.04,,
6275,268,7.887,17,1.05,,
6290,269,7.881,15,1.05,,
6306,270,14.213,16,1.05,,
6318,271,8.627,12,1.05,,
6352,272,27.836,34,1.06,,
6366,273,8.313,14,1.06,,
6391,274,28.685,25,1.06,,
6407,275,15.274,16,1.07,,
6426,276,11.326,19,1.07,,
6444,277,16.784,18,1.07,,
6463,278,9.616,19,1.08,,
6476,279,7.913,13,1.08,,
6489,280,10.462,13,1.08,,
6503,281,10.158,14,1.08,,
6520,282,14.149,17,1.08,,
6544,283,7.606,24,1.09,,
6559,284,7.213,15,1.09,,
6579,285,17.294,20,1.09,,
6601,286,16.799,22,1.1,,
6660,287,98.358,59,1.1,,
6677,288,13.072,17,1.11,,
6714,289,16.981,37,1.11,,
6731,290,15.174,17,1.12,,
6746,291,6.327,15,1.12,,
6768,292,14.894,22,1.12,,
6790,293,16.506,22,1.12,,
6807,294,16.035,17,1.13,,
6852,295,49.068,45,1.13,,
6873,296,12.409,21,1.14,,
6887,297,8.316,14,1.14,,
6914,298,10.611,27,1.14,,
6925,299,9.422,11,1.14,,
6940,300,8.149,15,1.15,,
6958,301,9.516,18,1.15,,
6971,302,6.276,13,1.15,,
6987,303,14.607,16,1.15,,
7000,304,8.238,13,1.16,,
7016,305,12.685,16,1.16,,
7031,306,9.608,15,1.16,,
7049,307,10.398,18,1.16,,
7064,308,11.897,15,1.16,,
7079,309,11.456,15,1.17,,
7104,310,13.263,25,1.17,,
7114,311,6.623,10,1.17,,
7144,312,11.211,30,1.18,,
7163,313,11.387,19,1.18,,
7182,314,9.985,19,1.18,,
7196,315,10.137,14,1.18,,
7217,316,8.211,21,1.19,,
7236,317,20.85,19,1.19,,
7265,318,24.035,29,1.19,,
7285,319,5.797,20,1.2,,
7372,320,111.967,87,1.21,,
7392,321,19.029,20,1.21,,
7406,322,10.068,14,1.21,,
7416,323,6.557,10,1.22,,
7436,324,15.26,20,1.22,,
7452,325,9.755,16,1.22,,
7476,326,27.098,24,1.22,,
7501,327,13.399,25,1.23,,
7517,328,10.333,16,1.23,,
7530,329,8.154,13,1.23,,
7549,330,12.622,19,1.24,,
7564,331,12.784,15,1.24,,
7586,332,11.137,22,1.24,,
7604,333,17.251,18,1.24,,
7631,334,22.674,27,1.25,,
7671,335,62.337,40,1.25,,
7688,336,13.261,17,1.26,,
7714,337,26.021,26,1.26,,
7732,338,15.365,18,1.26,,
7745,339,11.878,13,1.27,,
7761,340,10.447,16,1.27,,
7780,341,18.287,19,1.27,,
7797,342,8.492,17,1.27,,
7817,343,13.281,20,1.28,,
7860,344,46.052,43,1.28,,
7898,345,29.71,38,1.29,,
7919,346,16.541,21,1.29,,
7949,347,21.705,30,1.3,,
7972,348,13.877,23,1.3,,
7989,349,9.25,17,1.3,,
7997,350,5.326,8,1.3,,
8027,351,11.51,30,1.31,,
8045,352,17.133,18,1.31,,
8065,353,10.153,20,1.31,,
8077,354,6.876,12,1.32,,
8115,355,11.238,38,1.32,,
8127,356,7.265,12,1.32,,
8140,357,9.762,13,1.33,,
8158,358,15.693,18,1.33,,
8189,359,25.064,31,1.34,,
8206,360,17.519,17,1.34,,
8222,361,8.657,16,1.34,,
8246,362,17.891,24,1.35,,
8278,363,39.532,32,1.35,,
8293,364,12.353,15,1.35,,
8312,365,10.419,19,1.36,,
8347,366,42.031,35,1.36,,
8362,367,13.924,15,1.36,,
8375,368,10.27,13,1.37,,
8395,369,11.315,20,1.37,,
8415,370,13.97,20,1.37,,
8437,371,8.079,22,1.38,,
8464,372,17.649,27,1.38,,
8474,373,6.83,10,1.38,,
8488,374,9.941,14,1.38,,
8516,375,29.376,28,1.39,,
8544,376,17.357,28,1.39,,
8557,377,8.698,13,1.39,,
8585,378,23.551,28,1.4,,
8596,379,7.615,11,1.4,,
8623,380,18.031,27,1.4,,
8637,381,11.264,14,1.41,,
8654,382,14.221,17,1.41,,
8670,383,13.881,16,1.41,,
8682,384,7.529,12,1.41,,
8712,385,18.993,30,1.42,,
8728,386,9.452,16,1.42,,
8743,387,13.097,15,1.42,,
8775,388,23.868,32,1.43,,
8805,389,13.33,30,1.43,,
8820,390,9.599,15,1.43,,
8854,391,30.133,34,1.44,,
8864,392,3.991,10,1.44,,
8897,393,17.3,33,1.44,,
8915,394,13.084,18,1.45,,
8926,395,7.759,11,1.45,,
8960,396,38.861,34,1.45,,
8977,397,7.435,17,1.46,,
9021,398,50.439,44,1.46,,
9063,399,54.95,42,1.47,,
9079,400,11.296,16,1.47,,
9099,401,10.696,20,1.47,,
9125,402,11.78,26,1.48,,
9139,403,11.518,14,1.48,,
9166,404,8.94,27,1.48,,
9178,405,7.849,12,1.48,,
9193,406,11.612,15,1.49,,
9206,407,9.779,13,1.49,,
9220,408,9.152,14,1.49,,
9243,409,11.165,23,1.49,,
9256,410,9.091,13,1.5,,
9276,411,17.839,20,1.5,,
9291,412,11.101,15,1.5,,
9307,413,13.613,16,1.5,,
9326,414,13.89,19,1.51,,
9346,415,19.543,20,1.51,,
9356,416,6.889,10,1.51,,
9372,417,11.251,16,1.51,,
9399,418,14.132,27,1.52,,
9439,419,32.833,40,1.52,,
9450,420,7.579,11,1.52,,
9464,421,11.767,14,1.53,,
9498,422,9.781,34,1.53,,
9508,423,7.647,10,1.53,,
9531,424,27.503,23,1.54,,
9548,425,8.603,17,1.54,,
9563,426,11.33,15,1.54,,
9579,427,8.1,16,1.54,,
9604,428,28.752,25,1.55,,
9628,429,11.675,24,1.55,,
9671,430,33.351,43,1.56,,
9685,431,9.698,14,1.56,,
9706,432,23.239,21,1.56,,
9722,433,10.158,16,1.56,,
9735,434,9.658,13,1.57,,
9745,435,7.605,10,1.57,,
9767,436,11.045,22,1.57,,
9776,437,4.723,9,1.57,,
9802,438,10.938,26,1.58,,
9820,439,11.872,18,1.58,,
9842,440,14.395,22,1.58,,
9857,441,9.723,15,1.58,,
9946,442,83.771,89,1.6,,
9966,443,20.358,20,1.6,,
9985,444,13.703,19,1.6,,
10001,445,13.783,16,1.88,,
10020,446,13.123,19,1.88,,
10033,447,7.842,13,1.89,,
10052,448,16.371,19,1.89,,
10098,449,70.287,46,1.9,,
10138,450,32.946,40,1.91,,
10159,451,7.225,21,1.91,,
10183,452,20.944,24,1.92,,
10200,453,12.517,17,1.92,,
10229,454,22.123,29,1.93,,
10243,455,8.94,14,1.93,,
10263,456,9.414,20,1.94,,
10274,457,8.775,11,1.94,,
10309,458,35.561,35,1.94,,
10337,459,6.815,28,1.95,,
10358,460,15.236,21,1.95,,
10380,461,24.67,22,1.96,,
10406,462,10.578,26,1.96,,
10420,463,11.793,14,1.96,,
10434,464,7.286,14,1.97,,
10446,465,9.194,12,1.97,,
10463,466,10.87,17,1.97,,
10488,467,10.73,25,1.97,,
10502,468,10.29,14,1.98,,
10521,469,20.31,19,1.98,,
10547,470,9.081,26,1.98,,
10562,471,7.468,15,1.99,,
10584,472,17.364,22,1.99,,
10596,473,10.168,12,1.99,,
10616,474,13.234,20,1.99,,
10642,475,25.513,26,2.0,,
10657,476,9.74,15,2.0,,
10696,477,35.849,39,2.01,,
10723,478,12.612,27,2.02,,
10744,479,15.521,21,2.03,,
10758,480,12.17,14,2.03,,
10786,481,22.573,28,2.05,,
10799,482,9.642,13,2.06,,
10873,483,84.278,74,2.09,,
10891,484,11.644,18,2.1,,
10907,485,13.845,16,2.11,,
10939,486,9.658,32,2.12,,
10952,487,5.807,13,2.12,,
10983,488,31.299,31,2.13,,
11003,489,11.427,20,2.14,,
11023,490,11.287,20,2.14,,
11053,491,22.243,30,2.15,,
11070,492,12.968,17,2.15,,
11080,493,4.418,10,2.15,,
11097,494,8.883,17,2.16,,
11116,495,12.642,19,2.16,,
11140,496,24.249,24,2.16,,
11157,497,9.986,17,2.17,,
11177,498,11.569,20,2.17,,
11195,499,5.595,18,2.17,,
11222,500,15.528,27,2.18,,
11237,501,10.431,15,2.18,,
11268,502,38.601,31,2.18,,
11285,503,12.783,17,2.19,,
11303,504,16.485,18,2.19,,
