timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss,alpha_loss,alpha
1000,0,-321.102,1000,0.08,,,,
2000,1,-244.673,1000,0.16,,,,
3000,2,-244.847,1000,0.23,,,,
4000,3,-224.698,1000,0.31,,,,
5000,4,-235.208,1000,0.85,20.666817,-3.16809,9.331779,0.9999
6000,5,-194.786,1000,16.04,12.786163,-12.954295,9.512328,0.906641
7000,6,-270.805,1000,29.69,8.770042,-25.757421,8.572387,0.824991
8000,7,-232.434,1000,42.57,5.855108,-36.743941,7.85159,0.751804
9000,8,-160.712,1000,58.78,6.070766,-45.810781,7.106479,0.686234
10000,9,-258.29,1000,73.81,6.129109,-53.115856,6.44591,0.626818
11000,10,-260.67,1000,95.83,6.02676,-58.726359,5.872358,0.572606
12000,11,-261.126,1000,110.11,5.933134,-62.934563,5.352758,0.523111
13000,12,-234.965,1000,123.0,5.797862,-66.003409,4.879922,0.477902
14000,13,-266.133,1000,137.24,5.455411,-68.056363,4.446997,0.436619
15000,14,-352.598,1000,152.56,5.175459,-69.23417,4.049973,0.398921
16000,15,-239.021,1000,168.37,5.009244,-69.68759,3.689797,0.364482
17000,16,-90.182,1000,181.54,4.717855,-69.595601,3.359242,0.333031
18000,17,-227.033,1000,195.86,4.503729,-69.073518,3.061166,0.304278
19000,18,-188.473,1000,210.31,4.209546,-68.073478,2.788949,0.278013
20000,19,-57.286,1000,223.94,3.931407,-66.790251,2.535968,0.254044
21000,20,-216.034,1000,244.07,3.750638,-65.250398,2.309338,0.232133
22000,21,-161.908,1000,258.47,3.49921,-63.410673,2.101818,0.212109
23000,22,-124.436,1000,272.1,3.306849,-61.490227,1.913498,0.193816
24000,23,-188.438,1000,285.63,3.165096,-59.36571,1.744628,0.177084
25000,24,-223.47,1000,299.58,2.985407,-57.043448,1.584061,0.161827
26000,25,-127.905,1000,312.92,2.783735,-54.662097,1.441698,0.147879
27000,26,-106.326,1000,326.92,2.670238,-52.312413,1.309533,0.13515
