timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss
1000,0,-246.174,1000,0.08,,
2000,1,-382.006,1000,0.16,,
3000,2,-180.856,1000,0.24,,
4000,3,-202.994,1000,0.31,,
5000,4,-250.314,1000,0.39,,
6000,5,-425.116,1000,0.48,,
7000,6,-296.788,1000,0.56,,
8000,7,-344.283,1000,0.63,,
9000,8,-202.443,1000,0.71,,
10000,9,-182.962,1000,0.79,,
11000,10,-377.94,1000,6.16,,
12000,11,-374.132,1000,6.24,,
13000,12,-293.411,1000,6.32,,
14000,13,-262.027,1000,6.39,,
15000,14,-219.718,1000,6.47,,
16000,15,-383.759,1000,6.55,,
17000,16,-300.403,1000,6.62,,
18000,17,-325.323,1000,6.7,,
19000,18,-373.217,1000,6.8,,
20000,19,-220.697,1000,6.88,,
21000,20,-189.138,1000,11.96,,
22000,21,-371.848,1000,12.05,,
23000,22,-274.399,1000,12.12,,
24000,23,-279.151,1000,12.2,,
25000,24,-240.909,1000,12.39,1.784542,
26000,25,-461.065,1000,19.57,0.327316,-0.44941
27000,26,-517.202,1000,26.65,0.369869,-1.265864
28000,27,-401.222,1000,33.51,0.577429,-1.759957
29000,28,-404.22,1000,40.49,0.757,-2.509601
30000,29,-414.895,1000,47.66,0.95278,-3.595498
31000,30,-398.47,1000,60.24,1.04681,-4.485147
32000,31,-215.197,1000,67.39,1.072905,-5.299827
33000,32,150.773,1000,75.09,1.084755,-6.140742
34000,33,333.099,1000,82.58,1.355885,-7.485695
35000,34,760.808,1000,90.09,1.723965,-9.495653
36000,35,869.877,1000,97.55,1.732959,-11.361022
37000,36,1056.09,1000,105.37,2.172298,-13.613989
38000,37,1279.98,1000,112.64,2.362546,-16.240333
39000,38,535.125,1000,119.25,2.378004,-18.350876
40000,39,854.397,1000,125.98,2.30021,-20.447894
41000,40,1121.42,1000,137.58,2.428041,-22.746139
42000,41,1999.889,1000,144.95,2.574589,-25.061663
43000,42,2128.409,1000,152.51,2.821224,-28.042063
44000,43,2233.232,1000,159.97,2.998384,-30.937651
45000,44,2607.348,1000,167.33,3.18409,-34.090273
46000,45,2345.127,1000,175.4,3.48211,-37.351774
47000,46,2475.493,1000,183.54,3.741086,-40.534758
48000,47,2650.614,1000,191.89,4.049064,-43.908307
49000,48,3136.402,1000,200.03,4.331827,-47.217988
50000,49,3068.571,1000,207.08,4.537048,-50.829768
51000,50,3244.21,1000,219.15,4.89104,-54.437268
52000,51,3197.46,1000,226.28,5.236695,-58.331972
53000,52,2973.291,1000,233.56,5.710615,-62.204672
54000,53,3174.379,1000,240.38,6.418734,-66.172684
55000,54,2781.688,1000,247.63,7.264547,-69.969829
56000,55,3541.397,1000,254.75,7.937743,-73.933888
57000,56,3149.333,1000,262.02,8.415318,-77.726651
58000,57,3470.013,1000,269.32,8.688542,-81.615732
59000,58,3907.478,1000,276.4,9.017119,-85.633983
60000,59,3944.888,1000,284.12,9.337254,-89.924501
61000,60,4122.148,1000,296.16,9.820936,-94.366941
62000,61,4139.446,1000,303.68,10.101717,-98.637548
63000,62,4347.266,1000,310.6,10.21273,-103.129627
64000,63,4388.662,1000,317.81,11.075654,-107.475339
65000,64,4408.135,1000,324.44,11.219372,-111.85381
66000,65,4576.856,1000,331.78,11.912028,-116.438151
67000,66,1313.577,1000,339.08,12.49159,-120.346613
68000,67,4573.548,1000,346.04,12.555215,-123.677711
69000,68,4777.684,1000,353.12,12.628427,-128.450544
70000,69,2491.469,1000,360.24,13.709005,-132.421045
71000,70,4643.104,1000,372.53,14.035627,-135.892726
72000,71,4828.615,1000,379.76,14.439393,-140.388143
73000,72,4659.802,1000,386.89,14.958253,-144.785581
74000,73,4782.477,1000,393.94,15.904198,-149.70114
75000,74,4733.704,1000,400.89,17.347034,-154.002718
76000,75,4717.705,1000,407.89,17.748632,-158.235051
77000,76,4929.799,1000,415.52,18.542269,-162.915516
78000,77,5172.854,1000,423.14,18.702589,-167.333707
79000,78,5360.097,1000,430.69,18.779991,-171.793645
80000,79,5514.378,1000,438.08,19.773868,-176.357549
81000,80,5464.193,1000,451.1,20.026702,-180.906095
82000,81,5283.941,1000,458.31,20.389949,-185.353947
83000,82,5462.247,1000,465.25,20.72365,-189.680741
84000,83,5597.322,1000,472.54,20.763345,-194.073772
85000,84,5589.238,1000,479.06,21.958727,-198.557869
86000,85,5548.661,1000,485.35,23.202991,-202.800034
87000,86,5437.209,1000,491.84,23.051263,-207.301414
88000,87,5511.559,1000,498.46,24.224769,-212.071316
89000,88,5717.377,1000,505.62,24.039372,-216.341818
90000,89,5636.946,1000,513.22,25.540155,-220.243549
91000,90,5840.8,1000,525.88,25.324347,-224.464037
92000,91,5978.144,1000,534.2,26.283058,-229.118379
93000,92,5626.968,1000,542.41,26.242894,-233.435564
94000,93,5769.596,1000,550.67,27.376513,-237.647235
95000,94,2235.468,1000,559.06,27.484512,-240.873118
96000,95,6263.621,1000,566.25,27.849354,-243.428655
97000,96,5943.497,1000,573.32,28.485914,-247.55597
98000,97,6012.076,1000,580.35,29.150162,-251.238764
99000,98,6060.825,1000,587.5,28.431339,-255.802236
100000,99,6310.713,1000,594.63,29.274801,-259.539763
