timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss,alpha_loss,alpha
1000,0,-313.451,1000,0.08,,,,
2000,1,-324.23,1000,0.16,,,,
3000,2,-205.696,1000,0.24,,,,
4000,3,-185.924,1000,0.32,,,,
5000,4,-139.136,1000,0.74,1.304831,-0.139373,0.0,0.1
6000,5,-251.349,1000,14.03,0.695659,-0.833324,0.0,0.1
7000,6,-241.424,1000,27.91,0.924924,-1.819357,0.0,0.1
8000,7,-298.645,1000,41.23,1.202533,-2.646319,0.0,0.1
9000,8,-221.15,1000,54.98,1.38286,-3.646961,0.0,0.1
10000,9,-249.747,1000,68.62,1.454968,-4.764092,0.0,0.1
11000,10,-408.398,1000,89.62,1.618054,-5.79594,0.0,0.1
12000,11,-175.774,1000,103.8,1.821198,-6.579638,0.0,0.1
13000,12,-131.328,1000,117.79,2.010351,-7.129999,0.0,0.1
14000,13,-30.474,1000,131.54,2.118179,-7.683506,0.0,0.1
15000,14,12.784,1000,145.92,2.102079,-8.120819,0.0,0.1
16000,15,119.881,1000,159.1,1.961648,-8.575485,0.0,0.1
17000,16,245.542,1000,172.63,1.836981,-9.041003,0.0,0.1
18000,17,186.141,1000,186.58,1.901335,-9.777311,0.0,0.1
19000,18,-36.405,1000,200.72,1.79948,-10.099389,0.0,0.1
20000,19,1.262,1000,214.53,1.724008,-10.243098,0.0,0.1
21000,20,641.961,1000,235.79,1.838688,-10.920628,0.0,0.1
22000,21,54.123,1000,249.24,1.828446,-11.596134,0.0,0.1
23000,22,736.104,1000,263.13,1.897294,-12.362119,0.0,0.1
24000,23,-11.514,1000,277.1,1.976701,-13.250198,0.0,0.1
25000,24,88.845,1000,290.97,1.903541,-13.600737,0.0,0.1
26000,25,265.233,1000,304.7,1.94475,-14.190148,0.0,0.1
27000,26,843.479,1000,318.53,2.054594,-15.103602,0.0,0.1
28000,27,1290.405,1000,332.79,2.250067,-16.574387,0.0,0.1
29000,28,1162.264,1000,346.38,2.49857,-18.295294,0.0,0.1
30000,29,200.85,1000,360.3,2.653976,-19.826221,0.0,0.1
31000,30,1540.952,1000,383.05,2.817175,-21.172775,0.0,0.1
32000,31,95.874,1000,396.31,2.944384,-22.639001,0.0,0.1
33000,32,2006.251,1000,410.04,3.157331,-24.132686,0.0,0.1
34000,33,1320.238,1000,423.43,3.406921,-26.471713,0.0,0.1
35000,34,2078.128,1000,437.12,3.746282,-28.410631,0.0,0.1
36000,35,1105.237,1000,450.79,4.12351,-30.881266,0.0,0.1
37000,36,1454.57,1000,464.55,4.433706,-32.884775,0.0,0.1
38000,37,2198.258,1000,477.77,5.081453,-35.229756,0.0,0.1
39000,38,2487.238,1000,491.39,5.716823,-38.02175,0.0,0.1
40000,39,424.948,1000,504.41,6.14815,-40.444209,0.0,0.1
41000,40,2496.744,1000,525.14,6.54646,-42.620197,0.0,0.1
42000,41,2595.414,1000,538.69,7.158012,-45.721506,0.0,0.1
43000,42,2497.029,1000,552.38,7.660477,-49.056904,0.0,0.1
44000,43,2860.702,1000,566.12,8.055726,-52.457868,0.0,0.1
45000,44,2681.485,1000,580.1,8.389313,-55.79849,0.0,0.1
46000,45,2778.019,1000,593.58,8.724226,-59.118176,0.0,0.1
47000,46,2945.954,1000,607.87,8.934357,-62.683175,0.0,0.1
48000,47,2830.572,1000,622.07,9.378555,-66.039607,0.0,0.1
49000,48,2986.054,1000,635.41,9.503327,-69.487998,0.0,0.1
50000,49,3170.131,1000,649.56,9.655596,-73.140707,0.0,0.1
51000,50,3287.525,1000,671.03,10.000305,-76.82608,0.0,0.1
52000,51,3148.906,1000,685.06,10.120039,-80.589706,0.0,0.1
53000,52,3310.452,1000,699.56,10.295832,-84.004186,0.0,0.1
54000,53,3487.327,1000,713.01,10.705098,-87.901701,0.0,0.1
55000,54,3374.041,1000,726.1,10.933037,-91.718026,0.0,0.1
56000,55,3628.835,1000,740.11,11.3481,-95.346824,0.0,0.1
57000,56,3189.433,1000,753.74,11.649099,-99.242897,0.0,0.1
58000,57,3153.944,1000,767.4,12.399824,-102.766989,0.0,0.1
59000,58,3520.945,1000,781.17,13.005345,-106.597865,0.0,0.1
60000,59,3333.698,1000,794.18,13.551619,-110.109982,0.0,0.1
61000,60,911.118,1000,815.8,14.057334,-112.693751,0.0,0.1
62000,61,3649.9,1000,829.92,14.547403,-114.990576,0.0,0.1
63000,62,1261.146,1000,843.67,14.743576,-117.963322,0.0,0.1
64000,63,3348.825,1000,857.18,15.115134,-119.804909,0.0,0.1
65000,64,3843.293,1000,870.63,15.569721,-123.291982,0.0,0.1
66000,65,3661.815,1000,883.78,16.041271,-126.657769,0.0,0.1
67000,66,4020.14,1000,897.77,16.310247,-130.008141,0.0,0.1
68000,67,3825.996,1000,911.4,16.579348,-133.830682,0.0,0.1
69000,68,3679.125,1000,925.41,16.653298,-136.864455,0.0,0.1
70000,69,3848.314,1000,939.28,17.71453,-140.244889,0.0,0.1
71000,70,2041.475,1000,959.61,17.735859,-142.851981,0.0,0.1
72000,71,3823.746,1000,973.34,17.92191,-145.333234,0.0,0.1
73000,72,4179.361,1000,987.13,18.681211,-148.490873,0.0,0.1
74000,73,4367.512,1000,1001.05,18.664809,-151.77066,0.0,0.1
75000,74,4208.143,1000,1014.78,19.048397,-154.885462,0.0,0.1
76000,75,4321.049,1000,1027.96,18.92086,-158.211409,0.0,0.1
77000,76,4228.203,1000,1042.04,18.575873,-161.392916,0.0,0.1
78000,77,4205.097,1000,1055.89,19.072131,-164.669855,0.0,0.1
79000,78,4240.823,1000,1070.08,19.311377,-167.025416,0.0,0.1
80000,79,4345.934,1000,1083.94,19.305375,-170.676056,0.0,0.1
81000,80,4393.786,1000,1106.13,19.166872,-173.788732,0.0,0.1
82000,81,4506.401,1000,1119.44,19.529984,-176.844878,0.0,0.1
83000,82,3654.747,1000,1133.36,19.682757,-180.081433,0.0,0.1
84000,83,4605.335,1000,1146.97,20.163773,-182.127537,0.0,0.1
85000,84,4549.146,1000,1160.9,20.246548,-185.806309,0.0,0.1
86000,85,4734.462,1000,1175.15,21.579172,-189.318936,0.0,0.1
87000,86,4526.099,1000,1188.74,20.779334,-192.091609,0.0,0.1
88000,87,4719.917,1000,1202.12,20.958413,-195.704595,0.0,0.1
89000,88,4769.229,1000,1216.16,20.766311,-198.933859,0.0,0.1
90000,89,4773.879,1000,1230.08,20.603367,-201.751907,0.0,0.1
91000,90,4671.112,1000,1251.27,20.416834,-205.360417,0.0,0.1
92000,91,4743.178,1000,1265.43,21.069355,-208.038775,0.0,0.1
93000,92,4876.914,1000,1279.22,21.102988,-211.159437,0.0,0.1
94000,93,4961.162,1000,1292.93,20.765154,-214.479444,0.0,0.1
95000,94,4854.063,1000,1307.08,20.888166,-217.488065,0.0,0.1
96000,95,5035.15,1000,1321.05,20.452858,-220.515442,0.0,0.1
97000,96,5166.054,1000,1334.66,20.880366,-223.471231,0.0,0.1
98000,97,5166.109,1000,1348.42,20.46564,-226.24408,0.0,0.1
99000,98,5109.699,1000,1362.27,20.209209,-229.11192,0.0,0.1
