timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss
21,0,19.902,21,0.0,,
38,1,13.181,17,0.01,,
61,2,21.942,23,0.01,,
80,3,11.036,19,0.01,,
92,4,9.22,12,0.02,,
174,5,127.045,82,0.04,,
187,6,6.473,13,0.04,,
202,7,14.398,15,0.04,,
214,8,9.341,12,0.04,,
227,9,8.537,13,0.05,,
244,10,9.963,17,0.05,,
272,11,27.058,28,0.05,,
302,12,30.592,30,0.06,,
339,13,25.571,37,0.06,,
387,14,54.272,48,0.07,,
408,15,8.784,21,0.07,,
425,16,12.987,17,0.08,,
458,17,35.509,33,0.08,,
486,18,27.122,28,0.09,,
525,19,28.307,39,0.1,,
575,20,25.47,50,0.1,,
595,21,11.087,20,0.11,,
607,22,8.411,12,0.12,,
643,23,35.774,36,0.12,,
666,24,10.701,23,0.13,,
687,25,12.987,21,0.13,,
706,26,14.306,19,0.13,,
731,27,23.341,25,0.14,,
765,28,29.004,34,0.14,,
782,29,16.002,17,0.15,,
814,30,27.75,32,0.15,,
828,31,8.228,14,0.15,,
863,32,7.592,35,0.16,,
883,33,5.707,20,0.16,,
893,34,6.144,10,0.16,,
917,35,17.218,24,0.17,,
948,36,12.603,31,0.17,,
964,37,13.598,16,0.17,,
993,38,22.365,29,0.18,,
1013,39,10.3,20,0.18,,
1023,40,6.731,10,0.18,,
1043,41,15.093,20,0.19,,
1157,42,203.895,114,0.21,,
1187,43,23.978,30,0.21,,
1205,44,13.49,18,0.21,,
1225,45,14.179,20,0.22,,
1237,46,9.16,12,0.22,,
1266,47,22.735,29,0.22,,
1305,48,33.247,39,0.23,,
1341,49,27.504,36,0.24,,
1355,50,7.805,14,0.24,,
1368,51,9.735,13,0.24,,
1390,52,16.301,22,0.24,,
1423,53,22.198,33,0.25,,
1436,54,9.239,13,0.25,,
1468,55,21.307,32,0.26,,
1483,56,12.226,15,0.26,,
1500,57,11.767,17,0.26,,
1512,58,7.256,12,0.26,,
1530,59,16.063,18,0.27,,
1557,60,13.669,27,0.27,,
1571,61,7.865,14,0.27,,
1584,62,8.117,13,0.27,,
1625,63,14.739,41,0.28,,
1636,64,6.597,11,0.28,,
1653,65,7.634,17,0.29,,
1675,66,14.268,22,0.29,,
1695,67,9.995,20,0.29,,
1715,68,16.957,20,0.29,,
1739,69,20.324,24,0.3,,
1764,70,29.32,25,0.3,,
1783,71,18.035,19,0.31,,
1804,72,15.313,21,0.31,,
1819,73,9.737,15,0.31,,
1834,74,9.795,15,0.31,,
1862,75,10.167,28,0.32,,
1900,76,49.875,38,0.32,,
1914,77,9.488,14,0.32,,
1941,78,13.868,27,0.33,,
1957,79,6.736,16,0.33,,
1976,80,8.099,19,0.33,,
1988,81,6.902,12,0.34,,
2017,82,9.424,29,0.34,,
2030,83,8.125,13,0.34,,
2044,84,10.291,14,0.34,,
2070,85,24.617,26,0.35,,
2086,86,8.284,16,0.35,,
2099,87,5.678,13,0.35,,
2117,88,10.947,18,0.36,,
2131,89,9.754,14,0.36,,
2140,90,4.52,9,0.36,,
2158,91,12.504,18,0.36,,
2174,92,5.277,16,0.36,,
2193,93,12.43,19,0.37,,
2219,94,7.553,26,0.37,,
2246,95,19.479,27,0.38,,
2270,96,12.705,24,0.38,,
2293,97,14.181,23,0.38,,
2309,98,10.829,16,0.39,,
2324,99,11.374,15,0.39,,
2337,100,8.252,13,0.39,,
2349,101,9.084,12,0.39,,
2363,102,7.492,14,0.39,,
2381,103,12.139,18,0.4,,
2394,104,7.428,13,0.4,,
2413,105,12.081,19,0.4,,
2440,106,19.104,27,0.41,,
2468,107,15.528,28,0.41,,
2479,108,6.04,11,0.42,,
2512,109,19.811,33,0.42,,
2528,110,10.041,16,0.42,,
2572,111,64.481,44,0.43,,
2582,112,6.643,10,0.43,,
2602,113,9.719,20,0.44,,
2636,114,31.433,34,0.44,,
2666,115,17.789,30,0.45,,
2680,116,12.106,14,0.45,,
2707,117,30.665,27,0.45,,
2717,118,5.833,10,0.45,,
2751,119,23.087,34,0.46,,
2761,120,5.742,10,0.47,,
2778,121,7.321,17,0.47,,
2787,122,5.314,9,0.47,,
2802,123,9.632,15,0.47,,
2815,124,5.853,13,0.48,,
2836,125,21.607,21,0.48,,
2884,126,68.15,48,0.49,,
2906,127,18.274,22,0.49,,
