timestep,episode,episode_reward,episode_length,wall_time,critic_loss,actor_loss,alpha_loss,alpha
1000,0,-262.374,1000,0.09,,,,
2000,1,-173.275,1000,0.18,,,,
3000,2,-259.025,1000,0.26,,,,
4000,3,-365.254,1000,0.33,,,,
5000,4,-311.391,1000,0.76,18.275696,-2.764573,8.753137,0.9999
6000,5,-276.945,1000,14.49,13.093404,-13.047089,9.507432,0.906581
7000,6,-195.078,1000,28.76,7.878204,-25.671427,8.559709,0.82497
8000,7,-250.174,1000,43.0,5.558956,-36.65427,7.842415,0.751791
9000,8,-264.379,1000,56.84,5.893687,-45.783141,7.094398,0.686248
10000,9,-206.038,1000,70.82,5.975409,-53.188583,6.424235,0.626905
11000,10,-247.372,1000,91.54,5.827899,-59.033818,5.846976,0.572748
12000,11,-234.921,1000,104.8,5.562405,-63.33404,5.336996,0.523215
13000,12,-296.432,1000,117.74,5.465609,-66.447378,4.878553,0.477911
14000,13,-5.244,1000,131.19,5.193033,-68.602935,4.454635,0.436535
15000,14,-317.818,1000,144.67,4.953468,-69.950889,4.062418,0.398782
16000,15,-248.466,1000,158.01,4.704503,-70.537785,3.700221,0.364333
17000,16,-275.582,1000,171.27,4.48491,-70.535674,3.370607,0.332873
18000,17,-133.935,1000,185.16,4.274666,-70.040473,3.072549,0.304121
19000,18,-163.462,1000,199.1,4.124779,-69.177161,2.799891,0.277858
20000,19,-170.04,1000,213.8,3.984389,-67.940398,2.550253,0.253871
21000,20,-110.064,1000,233.33,3.751999,-66.379663,2.318508,0.231987
22000,21,-180.423,1000,247.41,3.658426,-64.639053,2.110282,0.211981
23000,22,-227.156,1000,259.87,3.581034,-62.703578,1.918034,0.193717
24000,23,-268.167,1000,273.52,3.456503,-60.533444,1.740519,0.177055
25000,24,-129.397,1000,287.35,3.321268,-58.301301,1.581376,0.161825
26000,25,-286.769,1000,301.06,3.241793,-55.983905,1.436104,0.147902
27000,26,-126.727,1000,316.49,3.12764,-53.573045,1.306555,0.135166
28000,27,-253.976,1000,332.43,3.001426,-51.156843,1.179617,0.123582
29000,28,-246.754,1000,345.79,2.888474,-48.67459,1.068036,0.112987
30000,29,-279.175,1000,359.06,2.770846,-46.238041,0.963475,0.103328
31000,30,-191.236,1000,378.07,2.673933,-43.788035,0.872428,0.094483
32000,31,-211.346,1000,391.39,2.5864,-41.375258,0.787013,0.08641
33000,32,-163.367,1000,404.84,2.497171,-39.025185,0.712386,0.079016
34000,33,-221.061,1000,419.86,2.43737,-36.726479,0.63902,0.072288
35000,34,-215.847,1000,434.75,2.380143,-34.454363,0.574179,0.066145
36000,35,-230.051,1000,449.3,2.354083,-32.331064,0.513584,0.060543
37000,36,-163.371,1000,463.03,2.320142,-30.330946,0.463262,0.055395
38000,37,-175.435,1000,475.84,2.28194,-28.376322,0.415557,0.050692
39000,38,-170.213,1000,489.48,2.246232,-26.439136,0.372036,0.046398
40000,39,-222.52,1000,502.64,2.205972,-24.468503,0.333678,0.042471
41000,40,-127.855,1000,521.07,2.200743,-22.684194,0.295737,0.038902
42000,41,-164.99,1000,534.64,2.175376,-21.007368,0.266825,0.035601
43000,42,-121.52,1000,548.07,2.159531,-19.397327,0.239481,0.032585
44000,43,-87.542,1000,561.27,2.129383,-17.844547,0.213231,0.029838
45000,44,-98.698,1000,575.16,2.088126,-16.355063,0.190224,0.027324
46000,45,-106.159,1000,588.35,2.062881,-15.027733,0.169321,0.02503
47000,46,-120.371,1000,602.25,2.039525,-13.689752,0.151381,0.02292
48000,47,-42.9,1000,615.01,2.01238,-12.401932,0.13408,0.020998
49000,48,-60.758,1000,628.08,1.984107,-11.185158,0.119833,0.019234
50000,49,-51.013,1000,641.02,1.967876,-10.075777,0.105772,0.017631
51000,50,-50.241,1000,660.16,1.940802,-9.034398,0.093276,0.016163
52000,51,-23.669,1000,676.97,1.918658,-8.032807,0.082219,0.014822
53000,52,7.111,1000,693.8,1.890276,-7.150692,0.071437,0.013603
54000,53,41.759,1000,707.9,1.905254,-6.307978,0.062608,0.012486
55000,54,84.118,1000,720.59,1.876392,-5.578457,0.054623,0.011463
56000,55,99.811,1000,734.48,1.869191,-4.860323,0.047144,0.010532
57000,56,-53.474,1000,747.78,1.859055,-4.222539,0.039516,0.009698
58000,57,193.619,1000,761.83,1.843285,-3.572723,0.033983,0.008924
59000,58,-23.349,1000,776.86,1.854251,-3.039663,0.028357,0.008227
60000,59,433.01,1000,792.18,1.868897,-2.557892,0.023494,0.007593
61000,60,-104.714,1000,814.66,1.87806,-2.190702,0.017803,0.00705
62000,61,571.661,1000,827.9,1.896727,-1.964119,0.013552,0.006568
63000,62,-48.319,1000,841.0,1.995052,-1.919731,0.008729,0.006181
64000,63,463.575,1000,855.03,2.066917,-1.966547,0.005533,0.005861
65000,64,205.568,1000,868.8,2.121329,-2.259101,0.001963,0.005708
66000,65,93.551,1000,882.21,2.192911,-2.488584,-0.000141,0.005733
